paper_id,screener_A,screener_B,adjudicated,criteria,rationale
5010,include,exclude,include,I2,"A: the contributed paradigm is interacting with several environments per step with cross-trajectory sharing, set against sequential reason-then-act."
5043,include,exclude,exclude,E7,"B: dual-tier memory judged by web-task success and token reduction; a memory architecture evaluated on outcomes, which the guide files as E7."
5104,include,exclude,exclude,E7,B: ARC is evaluated by Needle-in-a-Haystack retrieval accuracy and serving cost - the guide's named example of memory judged on retrieval quality.
5151,include,exclude,exclude,E4,B: it scores models on writing orchestration prompts across fixed topologies; the arrangement is never the manipulated variable and no loop property is measured.
5216,include,exclude,include,I2,"A: planning, per-step routing, reasoning depth and queue order are the contribution, set against infra-blind routers; latency and SLO are scheduling numbers."
5307,exclude,include,include,I2,"B: the contributed object is the rule for when the loop continues autonomously and when it defers to a human, trained and compared against fully autonomous MAS."
5965,exclude,include,include,I2,"B: the contribution is the failure-detect-and-replan trigger, and the claim is recovery from unforeseen obstacles where non-replanning baselines cannot adapt."
6537,include,exclude,include,I2,"A: the diagnostic taxonomy measures premature stopping after successful tool calls - a termination property, the condition the guide sets for admitting a benchmark."
6600,include,exclude,include,I2,"A: trajectory decomposition measures when-to-call planning as a failure class dominating tool-call errors - a loop property, the guide's test for benchmarks."
6604,include,exclude,exclude,E7,"B: a domain runtime for chemistry workflows; claims are task quality, 80% cost and fourfold time against the authors' prior architecture - system outcomes."
6626,include,exclude,exclude,E7,B: the contribution is an automated environment-generation and training pipeline; distillation versus an experience bank is compared on pass rates only.
6642,include,exclude,exclude,E7,"B: an OS bundling scheduling, verification, memory, safety and benchmarking, evidenced by LIBERO/Calvin/RoboCasa gains; the SessionVerifier is never isolated."
6658,include,exclude,exclude,E7,"B: an agentic red-teaming pipeline whose product is vulnerability knowledge; the 14.2pp claim compares frozen concept graphs on attack success, a task outcome."
7474,exclude,include,include,I2,"B: the contributed object is the failure-driven improvement loop bolted onto a fixed agent, and 42.3 to 48.9 on OSWorld is that mechanism added and removed."
7668,include,exclude,exclude,E2,B: MCTS runs offline to synthesise fine-tuning data; the shipped model answers in one pass - the guide's fine-tuning-with-no-runtime-loop case.
8165,include,exclude,include,I2,A: the contribution is the search policy itself - UCB over states with LLM queries for exploration plus cross-trial learnings - set against Reflexion/CLIN loops.
8191,include,exclude,include,I2,"A: the changed variables are node expansion and the value signal for selection, measured against the prior MCTS agent, so the search policy is the studied object."
8326,exclude,include,include,I2,"B: search-space efficiency against A* and RL is a property of the search itself, and the contributed object is how the next node is chosen under human feedback."
8845,include,exclude,include,I2,A: hierarchical against flat multi-agent and single-agent is the guide's topology-comparison case; the arrangement is the manipulated variable.
9076,exclude,include,include,I2,"B: no abstract, so the title decides; it names dynamic self-reflective reasoning over prior reasoning paths as the contribution, subgraph exploration as the means."
9084,exclude,include,exclude,E7,"A: no abstract; the title contributes a hallucination-mitigation framework 'using' self-iterative contradiction - mechanism as means, so the title rule excludes."
9089,exclude,include,include,I2,"B: no abstract; iterative semantic refinement is the title's head and named contribution, with image editing as the setting it is applied to."
9090,exclude,include,exclude,E7,"A: no abstract; the title contributes enhanced ethical explanations 'through' iterative symbolic refinement - mechanism as means, which the title rule excludes."
9131,exclude,include,include,I2,"B: no abstract; the title's head is iterative self-correction, named as the contribution, with person re-identification as the setting."
9136,exclude,include,exclude,E2,A: no abstract; Self-Polish rewrites the problem statement before solving - prompt-level refinement with no feedback returning control.
9275,exclude,include,exclude,E7,A: no abstract; the title contributes a patch-verification agent built 'using' an iterative architecture - an application with the mechanism as means.
9429,exclude,include,include,I2,"B: verification is on the mechanism list and CriticEval measures critique quality itself, the control signal deciding whether a result is revised."
9969,include,exclude,include,I2,"A: an argued architectural position on multi-agent orchestration - executors decoupled from the orchestrator, explicit autonomy boundaries and escalation."
10720,exclude,include,include,I2,B: no abstract; the title contributes hop-aware diagnosis of where the multi-step retrieve-and-reason loop fails - the loop property the benchmark rule demands.
10786,include,exclude,include,I2,"A: no abstract; the title's head names guided decoding by iterative value refinement, a value signal choosing the next step - the iteration policy."
