paper_id,decision,criteria,reason
599,exclude,E5,"Proposes a framing then ""reviews key enabling technologies"" (edge computing, 5G/6G, cybersecurity) and ""identifies open research challenges"" for UAV swarms."
602,include,I1,"Measures loop components directly: context management strategies and context size, and finds ""state management through LLM-driven reflection doubled unaided GPT-4-Turbo success rates""."
604,exclude,E1,"The closed automation loops are optical network control loops where telemetry is the sensory layer and digital twins track the physical network, not an LLM agent's own loop."
605,exclude,E5,"Presented as ""a meta-synthesis that draws together four constituent studies"" on blockchain-enabled AI, plus a proposed reference architecture."
606,include,I1,"Derives a unified agent architecture and empirically tests four deployed agents, finding ""several protection mechanisms fail in practice"" at mediating tool use and privilege separation."
608,include,I1,"H-ECA is presented as ""a closed-loop control system that regulates LLM output"" via homeostatic state vectors, with a longitudinal comparison of two agent instances."
612,include,I1,"Contribution is where control lives: a tiered split of on-device agents from cloud SLM planning agents plus a governance layer enforcing policy over autonomous execution."
613,exclude,E5,"Explicitly ""This review examines existing research on LLM integration"" in traffic systems and proposes a research agenda; no primary method."
615,include,I1,"Confines LLM inference to a Monitor layer and gates every proposal through deterministic Verification agents; error injection over 43 proposals measures the verification step's recall."
620,include,I1,"Safety Sidecar ""operationalizes reflection as a closed-loop controller"" with external verifiers gating action release and memory updates; evaluated across eight CWE scenarios."
621,exclude,E5,"States ""we survey the existing LLM-based single-agent and multi-agent RL frameworks and provide potential research directions""."
622,exclude,E5,"A survey giving ""a comprehensive overview of this emerging landscape"" of agentic recommender systems with a unified taxonomy of paradigms."
624,exclude,E1,"The loop is an ICT/6G network orchestration loop formalised as a POMDP for carbon-aware orchestration and campus networking, not an LLM agent's control loop."
625,exclude,E5,"States ""We systematically review the principles, methodologies, and applications of Graph Engineering for LLM agents"" with an awesome-list repository; strong snowballing seed."
626,exclude,E5,"Titled and written as ""A Comprehensive Review"" presenting a synthesis of agentic AI architectures and control frameworks for smart grids."
628,exclude,E5,"A thesis-length literature review investigating ""how LLMs are currently utilised in high-level software testing"" across existing research."
629,include,I1,"EvoPINN's contribution is the iterate-verify cycle: an LLM agent proposes memory-conditioned modifications and every candidate passes structural verification and budget-matched evaluation."
630,exclude,E5,"Reviews 49 studies against a seven-dimensional taxonomy and reports prevalence percentages of implemented capabilities; a secondary study."
631,include,I1,"OrchestRAG's contributions are loop-control choices - task decomposition into subtask graphs, dynamic role allocation, shared episodic memory, consensus arbitration - with ablations."
633,exclude,E3,"Explicitly ""not algorithmic contributions"" but a CIP deployment case study; the LLM answers operator queries and results are stage compliance and numerical error, not loop claims."
634,include,I1,"AerialClaw's agent ""observes perception and runtime feedback, and iteratively updates its decisions in a closed loop"" with memory-driven reflection and runtime validation."
635,exclude,E1,"The loop is O-RAN intelligent control (non-RT and near-RT RIC); the LLM is a PPO actor whose weights are updated by RL fine-tuning, not a runtime agent loop."
637,include,I1,"Analyses agent architectures along decision-making and self-regulation and proposes the GIC architecture with hierarchical goal decomposition and learned self-regulation internalised in the agent."
638,exclude,E4,"An IEEE DataPort knowledge-base record: STIX bundle, technique JSON and cross-reference matrix cataloguing tactics, with no method or evaluation of its own."
639,include,I1,"Reformulates the autoresearch loop as a stateful ReAct agent so history persists across iterations, measuring the resulting token cost change (90% and 52% reductions)."
640,exclude,E1,"The loops are robotic vision loops - SLAM loop closure, visual-inertial fusion, classical planning and servo control - with no language-model agent loop."
641,exclude,E1,"The closed-loop control cycle is an AIOps provisioning loop driven by a DRL agent and forecasting models over telemetry, not a language-model agent's control loop."
647,include,I1,"RACAS is a cooperative architecture of Monitors, a Controller and a Memory Curator ""communicating exclusively through natural language to provide closed-loop robot control""."
649,include,I1,"No abstract is available for this record; the title claims an evolution of digital twins ""from reactive to agentic systems"", so the loop question cannot be settled here."
651,exclude,E5,"States ""This survey provides a critical and analytical review of the Aerial VLN field"" with a taxonomy of five architectural categories and benchmark comparisons."
