paper_id,axis,coder_1,coder_2,adjudicated,rationale
3976,evaluation_strategy,controlled_experiment,benchmark,benchmark,"Halo's evidence is outperforming static planning baselines on complex long-horizon tasks; the dynamical-systems part is analysis, not an experimental design."
4324,evaluation_strategy,benchmark,controlled_experiment,controlled_experiment,Drift measured as KL divergence under reminder-intervention vs no intervention in synthetic rewriting tasks and tau-Bench; that contrast carries the claim.
4624,evaluation_strategy,controlled_experiment,benchmark,controlled_experiment,"Twelve cases crossed with four state arms (stateless, append-only, harness-committed, oracle) over 192 model-case-arm trials: an explicit stated design."
5024,evaluation_strategy,controlled_experiment,benchmark,controlled_experiment,"Claim rests on decomposing variance between base model (41.4%) and scaffold (1.5%) over 25,000 runs; model and scaffold are deliberately varied factors."
5275,evaluation_strategy,benchmark,controlled_experiment,benchmark,"Evidence is measured performance of the authors' own system: misrouting 30.1% to 8.2%, sub-millisecond DAG construction, linear scaling; no varied-condition design."
5282,evaluation_strategy,controlled_experiment,human_study,controlled_experiment,"Eight-day randomised controlled trial, N=66, balanced across three architectural variants; the stated randomised design carries the claim, ratings are its measure."
5304,evaluation_strategy,controlled_experiment,case_study,controlled_experiment,"Problems deliberately selected to vary literature coverage and numerical character, compared against a single state-of-the-art LLM; that contrast is the evidence."
5324,evaluation_strategy,benchmark,controlled_experiment,benchmark,"Evidence is measured system performance - 21-33% execution-time reduction, 65% to 88% utilisation, near-linear scaling to 16 agents - versus traditional approaches."
5483,evaluation_strategy,benchmark,controlled_experiment,benchmark,"Results report the learned policy's accuracy and communication cost as agent count, task and backbone change; performance measured on task sets."
5682,evaluation_strategy,controlled_experiment,benchmark,benchmark,"Accepted rate reported against all fixed single-solver baselines on 'a reproducible prototype benchmark', plus average runtime and fallback rate."
5843,evaluation_strategy,controlled_experiment,case_study,case_study,"Framework applied to two oil-and-gas simulator workflows (well-network flow, gas processing); the ~6% SMAPE gain is internal to those two settings."
5928,evaluation_strategy,controlled_experiment,case_study,case_study,"PDoctor applied to three mainstream agent frameworks with two LLMs as subjects, reporting detected errors and error characteristics; subjects, not treatments."
6060,evaluation_strategy,controlled_experiment,benchmark,benchmark,Reports 8-12% planning improvement and 5-6% response-quality gain over end-to-end trained baselines on agent tasks.
6081,evaluation_strategy,benchmark,none,benchmark,"Record carries no abstract; the published abstract reports outperforming existing methods on embodied-intelligence, scientific-reasoning and RTS tasks, so 'none' fails."
6498,evaluation_strategy,controlled_experiment,ablation,ablation,"Five loop components (GCM, IAM, CCI, AP, RTM) added and varied to attribute agent success; that component variation is the primary evidence, with no named benchmark."
6559,evaluation_strategy,benchmark,controlled_experiment,controlled_experiment,"MCP vs Skills Architecture compared in calibrated simulation over five domains and three model families with 95% CIs; the authors' own suite, so the design is the evidence."
6661,evaluation_strategy,illustrative_example,none,illustrative_example,"Contribution is the Application-as-Agent paradigm, evidenced only by an exploration of enterprise integration scenarios: a walkthrough with no measurement."
6988,evaluation_strategy,benchmark,controlled_experiment,controlled_experiment,"Four patching paradigms compared under one unified harness on real-world vulnerability tasks; the architecture contrast, not a leaderboard score, is the claim."
7995,evaluation_strategy,benchmark,ablation,benchmark,"Headline is 17.4% over o1-mini on the Blocksworld dataset; the component ablations support that benchmark result, which the guide says to code benchmark."
8302,evaluation_strategy,human_study,controlled_experiment,human_study,Evidence is 125 agent actions hand-labelled by reviewers (Fleiss kappa 0.52); the paper says the inverted-U is a modelling result that 'motivates a human study'.
9089,evaluation_strategy,benchmark,illustrative_example,illustrative_example,"Record carries no abstract; the published abstract claims only demonstrated visual coherence and high-quality outputs - qualitative demonstration, no measurement."
9117,evaluation_strategy,benchmark,illustrative_example,benchmark,"Title-only record, no abstract retrievable; an iterative-optimisation medical-record-generation proceedings paper reports quality scores on a record set."
10271,evaluation_strategy,benchmark,controlled_experiment,benchmark,"Published abstract: reflection bank built from 4,000 papers and 79,000 comments, validated on over 3,700 comments from 200 papers - a dataset-scale evaluation."
10564,evaluation_strategy,none,illustrative_example,benchmark,Third value: published abstract reports MATH error rate cut 3% to under 1% at 7.5% deferral and 90+% area under the accuracy-rejection curve; evaluation is not absent.
10781,evaluation_strategy,benchmark,controlled_experiment,controlled_experiment,"Published abstract: three interpretation methods designed over one simple and three complex tasks across ChatGPT, Llama and DeepSeek to expose wavering and bias."
