paper_id,axis,coder_1,coder_2,adjudicated,rationale
6200,contribution_type,tool,method,method,"Claim is the compile-to-typed-DAG, node-level verification and locality-bounded repair procedure, cutting replanning from O(N) to O(d^h)."
6242,contribution_type,model,process,process,"Position paper that emphasizes organizing forecasting as an agentic workflow of perception, planning, action, reflection and memory, with three implementation paradigms."
6497,contribution_type,tool,metric,metric,Introduces a benchmark of programmatically verifiable Python task chains with unit tests triggering one self-correction; billed as a reproducible method for evaluating.
6532,contribution_type,tool,model,metric,Third value: contributes benchmarked assessment of LM agents on lateral-movement scenarios formalised as task chains with validation predicates and judge-based verification.
6816,contribution_type,model,metric,model,Headline is Theorem 1's DPI bound on closed-system multi-step reasoning with three companion results; the SFS metric and EGSR are parts of that theory.
6930,contribution_type,model,process,model,"Contribution is a taxonomy of architect-level failures in five severity-ordered groups: goal substitution, incomplete refactors, context loss, prompt gaps, process violations."
6937,contribution_type,model,process,model,"Second record of quantum_bench; same five-group taxonomy of architect errors, with 21 documented Claude errors against zero for the coder agent."
6986,contribution_type,method,model,method,"Foregrounds delegating causal evaluation to an external inference model and ranking plan steps by estimated effect, with three strategies for multi-step plans."
6988,contribution_type,model,tool,model,Compares four patching architectures on one benchmark and concludes architectural design and iteration depth dominate; the four-paradigm structuring is the leave-behind.
7029,contribution_type,model,process,process,External cooling is explicitly framed not as an optimization technique but as a structural governance requirement for observability in multi-agent systems.
7239,contribution_type,metric,tool,metric,"A 180-task ABAP benchmark of adapted HumanEval tasks and SAP scenarios, measuring success rates across models and compiler-feedback iterations."
7535,contribution_type,method,tool,method,"Claim is recursive self-modification of the agent's own logic guided only by high-level objectives, not the released framework code."
7608,contribution_type,model,tool,model,"Presents a complete system architecture, threat model and security analysis for skill-graph self-improvement; the runnable reference implementation demonstrates it."
7649,contribution_type,method,tool,method,"ACL version of Godel Agent; the recursive self-modification mechanism, free of predefined routines, is the claim."
7985,contribution_type,method,tool,method,"Two-level verification, meta-verification plus autonomous selection of verification tools by reasoning type, is reusable beyond the released agent."
8034,contribution_type,method,metric,metric,"Leads with a trajectory-level decomposition into pre-evidence and post-gold-read failures over 12,000 trajectories, arguing evidence-gathering be evaluated separately."
8344,contribution_type,process,method,process,"States it establishes a standard workflow for monitor red teaming across awareness levels, evasion strategies, environments and human escalation."
8726,contribution_type,process,model,process,"Reads the migration as four controls: an unreachable independent verifier, blind adversarial review, phased canary rollout, standards documented in advance."
9096,contribution_type,method,tool,method,"Ablations credit the extraction-verification-feedback-optimization closed loop and the strategy retrieval module, not the DyFIRER implementation."
9117,contribution_type,tool,method,method,Title-only record: a closed-loop feedback procedure for iterative optimization of generated medical records; no evidence of an artefact as the claim.
9429,contribution_type,metric,tool,metric,CriticEval is a benchmark for evaluating LLMs as critics; what it leaves behind is the measurement instrument.
10096,contribution_type,method,model,method,Contribution is the hierarchical Slow Mind / Fast Mind / Executor decomposition that buys real-time response; human studies measure it against ablated agents.
10432,contribution_type,model,method,model,"Title-only record: a dual cognitive loop pairing rationality and irrationality, i.e. a cognitive architecture for social-simulation agents."
10564,contribution_type,method,process,process,"Title-only record: mitigating reasoning-LLM deficiencies by human-in-the-loop systems engineering, a fail-fast-or-ask arrangement of work across human and model roles."
10565,contribution_type,model,method,model,"Title-only record: a case study of feedback loops and code perturbations in a C-to-Rust translation system; leaves an account, not a named artefact."
10696,contribution_type,tool,method,method,"Title-only record: modularised agentic workflow automation; the contribution is how workflows are composed and updated, portable beyond the Flow implementation."
10782,contribution_type,method,metric,metric,Title-only record: a two-pronged human evaluation of ChatGPT self-correction; the contribution is the evaluation procedure.
