paper_id,decision,criteria,reason
6000,exclude,E7,"Multi-agent tutoring framework; claims are learning-path quality, sequence consistency and cognitive-load alignment on MOOCCubeX, i.e. domain outcomes."
6001,exclude,E7,"LLM+VLM plan-refinement agent; the reported claims are ALFWorld and RT-1 task performance and robustness, not evidence about the refinement loop."
6002,include,I2,"Argues step-wise greedy reasoning fails over long horizons and tests FLARE's explicit lookahead, value propagation and limited commitment; iteration policy is the studied variable."
6003,exclude,E7,"Agentic PDDL generate-analyze-refine framework plus benchmark; the claim is 89.6% applicable plans against baselines, an end-task outcome."
6006,exclude,E7,"Multi-object diffusion agent with VLM feedback re-generation; claims are image-generation quality over baselines on 200 prompts."
6007,include,I2,"N=248 study of plan-then-execute assistants analysing how user involvement at each loop stage shifts trust and team performance; the control topology is the studied variable."
6010,include,I2,"Measures how workflow position and replanning dependencies amplify or suppress signal propagation in planner-executor MAS, then attacks and defends that formation; control topology is the variable."
6011,exclude,E7,"Pentesting framework pairing classical planning with LLM agents; the claim is 20% higher benchmark success and halved cost, a domain outcome."
6012,exclude,E7,"Hierarchical AUV planner with replanner; experiments validate successful long-duration mission performance, an end-task outcome."
6016,include,I2,"Directly tests whether refinement improves plans and finds LLMs cannot produce accurate feedback on long plans; a negative result about the verification/refinement step."
6021,include,I2,"Selective-foresight filter over world-model predictions, compared against other world-model baselines on prediction accuracy and not only downstream success; lookahead iteration policy."
6029,include,I2,"Shows always-planning is costly and degrades long-horizon tasks while never-planning limits performance, and formalizes deciding when to plan; iteration policy and compute budget."
6031,exclude,E7,"Matrix-plan pipeline with feedback-driven replanning; reported claims are robustness, interpretability and competitive accuracy on five reasoning benchmarks."
6036,include,I2,"Compares monitor-generate-verify against SELF-REFINE and Self-Verification, reporting attempts per solve (1.3 vs 2.0) and added cost; the verification cycle itself is measured."
6038,exclude,E7,"City-navigation agentic workflow with reflection memory; the claim is improved navigation performance over baselines, a domain outcome."
6048,include,I2,"Reliability study measures validator detection of injected faults and shows localized repair keeps a bounded edit radius versus global recompute; retry/repair measured directly."
6049,exclude,E7,"eVTOL flight-planning system with RAG memory and coach agent; claims are plan validity rates and operator-preference metrics."
6050,exclude,E7,"MARL subgoal decomposition prompted from a language model; claims are sample efficiency and performance on Overcooked and MiniRTS."
6055,exclude,E4,"Benchmark for multi-user travel planning; measures preference elicitation, conflict coordination and plan validity, not a loop property."
6059,exclude,E7,"Neuro-symbolic planner whose slow system repairs on planner failure; reported claims are success rate and reliability across 12 domains, with no measurement of the escalation."
6060,include,I2,"Decouples training of the planning module with tool-use-completeness rewards and reports an 8-12% planning gain measured separately from final response quality; iteration policy."
6063,exclude,E7,"Interactive recommender multi-agent system; claims are recommendation performance across datasets and query difficulties."
6064,exclude,E7,"Study of LLM agents on a victim-rescue task; reports task success, redundant actions and urgency-weighted efficiency as domain outcomes, with no loop mechanism varied."
6067,include,I2,"LLM strategy search layered over low-level MCTS with self-play refinement, compared against RL and other LLM skill-acquisition methods; bi-level search is the iteration policy."
6068,exclude,E7,"Global planning plus hierarchical execution agent; the claim is state-of-the-art 12.22% success-rate gain on LegalAgentBench, an end-task outcome."
6074,exclude,E7,"Radiotherapy dose-optimization agent; claims are plan scores across model sizes and RAG/RL settings, i.e. clinical optimization outcomes."
6075,include,I2,"Externalizes harness layers and measures each layer's marginal win-rate contribution, including a revision gate firing on 4.3% of turns; the loop's control layers are the variable."
6076,include,I2,"Trains the orchestrator selecting repair agents inside a verifier-checked refinement loop, reporting 40-50% fewer LLM calls per episode; retry/repair orchestration is the contribution."
