paper_id,title,doi,landing_url,best_try,arxiv_pdf
8847,Self-Contrastive Loop of Thought Method for Text-to-SQL Based on Large Language Model,10.18653/v1/2025.xllm-1.8,https://doi.org/10.18653/v1/2025.xllm-1.8,https://doi.org/10.18653/v1/2025.xllm-1.8,
8898,Dynamics of Agentic Loops in Large Language Models: A Geometric Theory of Trajectories.,10.48550/ARXIV.2512.10350,https://doi.org/10.48550/arXiv.2512.10350,https://doi.org/10.48550/ARXIV.2512.10350,
8916,Trust-Aware Runtime Verification for Autonomous LLM Agent Systems,10.1109/icaiset66439.2026.11541707,https://doi.org/10.1109/icaiset66439.2026.11541707,https://doi.org/10.1109/icaiset66439.2026.11541707,
8931,Formal Model of a Controllable LLM Agent Based on a Cognitive Architecture,10.7256/2454-0714.2026.2.79851,https://doi.org/10.7256/2454-0714.2026.2.79851,https://doi.org/10.7256/2454-0714.2026.2.79851,
8932,OpenAI single-agent LLM architecture reduces computational overhead relative to multi-agent orchestration in a simulated mars rover decision-support benchmark,10.3389/frobt.2026.1877762,https://doi.org/10.3389/frobt.2026.1877762,https://doi.org/10.3389/frobt.2026.1877762,
8944,Beyond Content Filtering: A “Circuit Breaker” Architecture for Autonomous Agent Action Safety,10.1109/southeastcon63549.2026.11475929,https://doi.org/10.1109/southeastcon63549.2026.11475929,https://doi.org/10.1109/southeastcon63549.2026.11475929,
8971,Multi-Agent LLM Pipeline for Code Writing: An Experimental Study of Writer-Reviewer Architecture,10.69882/adba.cs.2026071,https://doi.org/10.69882/adba.cs.2026071,https://doi.org/10.69882/adba.cs.2026071,
9050,Multi-agent Self-Reflection Framework: Enhancing the Logical Reasoning Ability of Large Language Models through API Interaction,10.1109/icdsca67083.2025.11350185,https://doi.org/10.1109/icdsca67083.2025.11350185,https://doi.org/10.1109/icdsca67083.2025.11350185,
9076,KnowPath: leveraging large language model prior reasoning paths for dynamic self-reflective reasoning via knowledge graph subgraph exploration,10.1016/j.eswa.2026.133255,https://doi.org/10.1016/j.eswa.2026.133255,https://doi.org/10.1016/j.eswa.2026.133255,
9083,ISR-LLM: Iterative Self-Refined Large Language Model for Long-Horizon Sequential Task Planning,10.1109/icra57147.2024.10610065,https://doi.org/10.1109/icra57147.2024.10610065,https://doi.org/10.1109/icra57147.2024.10610065,http://arxiv.org/pdf/2308.13724v1
9089,Iterative Semantic Refinement: A Vision Language Model-Driven Approach to Auto-Regressive Image Editing,10.1109/isas66241.2025.11101889,https://doi.org/10.1109/isas66241.2025.11101889,https://doi.org/10.1109/isas66241.2025.11101889,
9093,Self-Reflection in Large Language Model Agents: Effects on Problem-Solving Performance,10.1109/fllm63129.2024.10852426,https://doi.org/10.1109/fllm63129.2024.10852426,https://doi.org/10.1109/fllm63129.2024.10852426,
9096,DyFIRER: A Dynamic Feedback Iterative Multi-Agent Framework for Open Relation Extraction Based on Large Language Models,10.3390/app16178462,https://doi.org/10.3390/app16178462,https://doi.org/10.3390/app16178462,
9117,A closed-loop feedback framework based on large language models for iterative optimization in medical record generation,10.1117/12.3103545,https://doi.org/10.1117/12.3103545,https://doi.org/10.1117/12.3103545,
9131,Iterative Self-Correction for Text-Driven Person Re-Identification with Large Vision-Language Models,10.18653/v1/2026.findings-acl.312,https://doi.org/10.18653/v1/2026.findings-acl.312,https://doi.org/10.18653/v1/2026.findings-acl.312,
9170,"Multi-Criteria Evaluation of Hierarchical Reasoning, Self-Correction, and Factual Consistency in Large Language Models across Complex Language Tasks",10.66857/jirt.v3i2.51,https://doi.org/10.66857/jirt.v3i2.51,https://doi.org/10.66857/jirt.v3i2.51,
9175,LLMSR@XLLM25: SWRV: Empowering Self-Verification of Small Language Models through Step-wise Reasoning and Verification,10.18653/v1/2025.xllm-1.29,https://doi.org/10.18653/v1/2025.xllm-1.29,https://doi.org/10.18653/v1/2025.xllm-1.29,
9184,Not an Illusion but a Manifestation: Understanding Large Language Model Reasoning Limitations Through Dual-Process Theory,10.3390/app15158469,https://doi.org/10.3390/app15158469,https://doi.org/10.3390/app15158469,
9197,Refining Reasoning Chains through Self Correcting Reinforcement Learning Architectures for Mitigating Logical Hallucinations in Large Language Models,10.66280/ijair.v1i2.154,https://doi.org/10.66280/ijair.v1i2.154,https://doi.org/10.66280/ijair.v1i2.154,
9214,GraphReason: Enhancing Reasoning Capabilities of Large Language Models through A Graph-Based Verification Approach,10.18653/v1/2024.nlrse-1.1,https://doi.org/10.18653/v1/2024.nlrse-1.1,https://doi.org/10.18653/v1/2024.nlrse-1.1,http://arxiv.org/pdf/2308.09267v4
9242,A cost-effective approach for knowledge graph reasoning path retrieval and enhanced large language model reliability,10.7717/peerj-cs.3950,https://doi.org/10.7717/peerj-cs.3950,https://doi.org/10.7717/peerj-cs.3950,
9263,A Closed-Loop Modular Language Agent with Step Verification and Local Correction for Multi-Step Task Solving,10.3390/electronics15102011,https://doi.org/10.3390/electronics15102011,https://doi.org/10.3390/electronics15102011,
9269,Knowledge-Augmented Language Model Verification,10.18653/v1/2023.emnlp-main.107,https://doi.org/10.18653/v1/2023.emnlp-main.107,https://doi.org/10.18653/v1/2023.emnlp-main.107,http://arxiv.org/pdf/2310.12836v1
9426,Critic-CoT: Boosting the Reasoning Abilities of Large Language Model via Chain-of-Thought Critic,10.18653/v1/2025.findings-acl.89,https://doi.org/10.18653/v1/2025.findings-acl.89,https://doi.org/10.18653/v1/2025.findings-acl.89,http://arxiv.org/pdf/2408.16326v3
9429,CriticEval: Evaluating Large-scale Language Model as Critic,10.52202/079017-2137,https://doi.org/10.52202/079017-2137,https://doi.org/10.52202/079017-2137,
9484,Search-on-Graph: Iterative Informed Navigation for Large Language Model Reasoning on Knowledge Graphs,10.1145/3770855.3817964,https://doi.org/10.1145/3770855.3817964,https://doi.org/10.1145/3770855.3817964,http://arxiv.org/pdf/2510.08825v2
9515,IVC-DB: Iterative verification correction method guided by dual-Backward mathematical reasoning in large language models,10.1016/j.knosys.2025.115095,https://doi.org/10.1016/j.knosys.2025.115095,https://doi.org/10.1016/j.knosys.2025.115095,
9531,Adaptive Test-Time Reasoning with Uncertainty-Guided Verification: Enhancing Intrinsic Reasoning Capabilities of Large Language Models,10.1109/cicse70286.2026.11620946,https://doi.org/10.1109/cicse70286.2026.11620946,https://doi.org/10.1109/cicse70286.2026.11620946,
9553,Derailer-Rerailer: Adaptive Verification for Efficient and Reliable Language Model Reasoning,10.18653/v1/2025.findings-acl.18,https://doi.org/10.18653/v1/2025.findings-acl.18,https://doi.org/10.18653/v1/2025.findings-acl.18,http://arxiv.org/pdf/2408.13940v4
9614,A Modular Multi-Agent Coordination Framework for Persistent Autonomous AI Assistants with Tool Orchestration and Long-Horizon Task Management,10.38124/ijisrt/26mar061,https://doi.org/10.38124/ijisrt/26mar061,https://doi.org/10.38124/ijisrt/26mar061,
9615,Toward Scalable LLM-Based Multi-Agent Collaboration: A Dynamic Task Graph Approach with Asynchronous Parallel Execution,10.3390/electronics15112475,https://doi.org/10.3390/electronics15112475,https://doi.org/10.3390/electronics15112475,
9616,ReflectiChain: Mitigating Semantic-Execution Drift in Long-Horizon LLM Agents via Retrospective Reflection and Double-Loop Policy Adaptation,10.3390/electronics15153452,https://doi.org/10.3390/electronics15153452,https://doi.org/10.3390/electronics15153452,
9650,VerifyLLM: LLM-Based Pre-Execution Task Plan Verification for Robots,10.1109/iros60139.2025.11246320,https://doi.org/10.1109/iros60139.2025.11246320,https://doi.org/10.1109/iros60139.2025.11246320,http://arxiv.org/pdf/2507.05118v1
9662,"Thought Management System for long-horizon, goal-driven LLM agents",10.1016/j.jocs.2025.102740,https://doi.org/10.1016/j.jocs.2025.102740,https://doi.org/10.1016/j.jocs.2025.102740,
9840,AgentInit: Initializing LLM-based Multi-Agent Systems via Diversity and Expertise Orchestration for Effective and Efficient Collaboration,10.18653/v1/2025.findings-emnlp.636,https://doi.org/10.18653/v1/2025.findings-emnlp.636,https://doi.org/10.18653/v1/2025.findings-emnlp.636,http://arxiv.org/pdf/2509.19236v1
9845,EDAgent: A Concurrent Orchestration Method for Collaborative LLM Multi-Agent System,10.1109/2575-8411.2026.00032,https://doi.org/10.1109/2575-8411.2026.00032,https://doi.org/10.1109/2575-8411.2026.00032,
9850,"Autonomous Evaluation Architectures: Multi-Agent LLM Pipelines, Browser-Grounded Testing: Programmatic Alignment via DSPy, and Adversarial Robustness in Production Orchestration Systems",10.52710/cfs.1067,https://doi.org/10.52710/cfs.1067,https://doi.org/10.52710/cfs.1067,
9855,Adaptive Orchestration with Cross-Episode Memory for Dynamic LLM-based Agent Pools,10.21437/wochat.2026-4,https://doi.org/10.21437/wochat.2026-4,https://doi.org/10.21437/wochat.2026-4,
9904,LLM Enabled Multi-Agent System for 6G Networks: Framework and Method of Dual-Loop Edge-Terminal Collaboration,10.1109/mcom.001.2500148,https://doi.org/10.1109/mcom.001.2500148,https://doi.org/10.1109/mcom.001.2500148,http://arxiv.org/pdf/2509.04993v1
9931,Generator-Assistant Stepwise Rollback Framework for Large Language Model Agent,10.18653/v1/2025.emnlp-main.892,https://doi.org/10.18653/v1/2025.emnlp-main.892,https://doi.org/10.18653/v1/2025.emnlp-main.892,http://arxiv.org/pdf/2503.02519v4
9964,Artificial intelligence orchestration for text-based ultrasonic simulation via self-review by multi-large language model agents,10.1038/s41598-025-97498-y,https://doi.org/10.1038/s41598-025-97498-y,https://doi.org/10.1038/s41598-025-97498-y,
9969,AGENTIC AI FOR ENTERPRISE WORKFLOW AUTOMATION: IMPACT AND ARCHITECTURAL PRINCIPLES FOR MULTI-AGENT ORCHESTRATION,10.38193/ijrcms.2026.8309,https://doi.org/10.38193/ijrcms.2026.8309,https://doi.org/10.38193/ijrcms.2026.8309,
10074,"Emergent Autonomous Sub-Agent Spawning in LLM-Based Multi-Agent Software Engineering Systems:An Empirical Case Study, Controlled Pilot Experiment, and Benchmark Framework""Can AI Agents Have Babies?""",10.51244/ijrsi.2026.1303000020,https://doi.org/10.51244/ijrsi.2026.1303000020,https://doi.org/10.51244/ijrsi.2026.1303000020,
10096,LLM-Powered Hierarchical Language Agent for Real-time Human-AI Coordination,10.65109/zdxp6361,https://doi.org/10.65109/zdxp6361,https://doi.org/10.65109/zdxp6361,http://arxiv.org/pdf/2312.15224v2
10122,Ethical Coordination of LLM Multi-Agent Systems,10.3390/electronics15112278,https://doi.org/10.3390/electronics15112278,https://doi.org/10.3390/electronics15112278,
10136,"Are Agents Listening to Each Other? Measuring What Drives Agent Actions in
                    <scp>LLM</scp>
                    ‐Based Multi‐Agent Systems",10.1111/exsy.70392,https://doi.org/10.1111/exsy.70392,https://doi.org/10.1111/exsy.70392,
10271,Self-reflection enhances large language models towards substantial academic response,10.1038/s44387-025-00045-3,https://doi.org/10.1038/s44387-025-00045-3,https://doi.org/10.1038/s44387-025-00045-3,
10274,Self-ReS: Self-Reflection in Large Vision-Language Models for Long Video Understanding,10.1109/icme59968.2025.11209055,https://doi.org/10.1109/icme59968.2025.11209055,https://doi.org/10.1109/icme59968.2025.11209055,http://arxiv.org/pdf/2503.20362v2
10276,Self-Referential Introspection in Large Language Models: The Critical Threshold for Recursive Self-Improvement,10.3390/e28090951,https://doi.org/10.3390/e28090951,https://doi.org/10.3390/e28090951,
10277,Iterative Self-Improvement of Vision Language Models for Image Scoring and Self-Explanation,10.1109/icip55913.2025.11084643,https://doi.org/10.1109/icip55913.2025.11084643,https://doi.org/10.1109/icip55913.2025.11084643,http://arxiv.org/pdf/2506.02708v1
10311,Enhancing Logical Reasoning Depth via Monte Carlo Tree Search Integrated Reinforcement Learning for Advanced Large Language Model Thinking Processes,10.66280/ijair.v1i2.153,https://doi.org/10.66280/ijair.v1i2.153,https://doi.org/10.66280/ijair.v1i2.153,
10326,Improving Exploration Efficiency in Complex Reasoning Tasks via Guided Reinforcement Learning and Large Language Model Heuristic Search Strategies,10.66280/ijair.v1i2.157,https://doi.org/10.66280/ijair.v1i2.157,https://doi.org/10.66280/ijair.v1i2.157,
10351,A Tree-Based Search Algorithm with Global Pheromone and Local Signal Guidance for Scientific Chart Reasoning,10.3390/math13172739,https://doi.org/10.3390/math13172739,https://doi.org/10.3390/math13172739,
10374,Trustworthy Agentic AI: Balancing Autonomy with Human Oversight,10.47760/ijcsmc.2025.v14i11.013,https://doi.org/10.47760/ijcsmc.2025.v14i11.013,https://doi.org/10.47760/ijcsmc.2025.v14i11.013,
10432,Rationality Meets Irrationality: Incentivizing Dual Cognitive Loop for LLM-Based Agent in Social Simulation,10.1109/tcss.2026.3710148,https://doi.org/10.1109/tcss.2026.3710148,https://doi.org/10.1109/tcss.2026.3710148,
10547,Feedback Loops and Code Perturbations in LLM-Based Software Engineering: A Case Study on a C-to-Rust Translation System.,10.1109/SANER67736.2026.00047,https://doi.org/10.1109/SANER67736.2026.00047,https://doi.org/10.1109/SANER67736.2026.00047,http://arxiv.org/pdf/2512.02567v2
10564,"Fail Fast, or Ask: Mitigating the Deficiencies of Reasoning LLMs with Human-in-the-Loop Systems Engineering.",10.48550/ARXIV.2507.14406,https://doi.org/10.48550/arXiv.2507.14406,https://doi.org/10.48550/ARXIV.2507.14406,http://arxiv.org/pdf/2507.14406v1
10565,Feedback Loops and Code Perturbations in LLM-based Software Engineering: A Case Study on a C-to-Rust Translation System.,10.48550/ARXIV.2512.02567,https://doi.org/10.48550/arXiv.2512.02567,https://doi.org/10.48550/ARXIV.2512.02567,http://arxiv.org/pdf/2512.02567v2
10647,Towards Self-Refinement of Vision-Language Models with Triangular Consistency.,,http://papers.nips.cc/paper_files/paper/2025/hash/24966ec6bd42087ad050ad5a0fb689d6-Abstract-Conference.html,http://papers.nips.cc/paper_files/paper/2025/hash/24966ec6bd42087ad050ad5a0fb689d6-Abstract-Conference.html,http://arxiv.org/pdf/2510.10487v1
10652,Can LLMs Correct Themselves? A Benchmark of Self-Correction in LLMs.,,http://papers.nips.cc/paper_files/paper/2025/hash/ec07904adc847a45f53dceb44078f8f0-Abstract-Datasets_and_Benchmarks_Track.html,http://papers.nips.cc/paper_files/paper/2025/hash/ec07904adc847a45f53dceb44078f8f0-Abstract-Datasets_and_Benchmarks_Track.html,http://arxiv.org/pdf/2510.16062v2
10696,Flow: Modularized Agentic Workflow Automation.,,https://openreview.net/forum?id=sLKDbuyq99,https://openreview.net/forum?id=sLKDbuyq99,http://arxiv.org/pdf/2501.07834v2
10699,AFlow: Automating Agentic Workflow Generation.,,https://openreview.net/forum?id=z5uVAKwmjf,https://openreview.net/forum?id=z5uVAKwmjf,http://arxiv.org/pdf/2410.10762v4
10712,Scaling Autonomous Agents via Automatic Reward Modeling And Planning.,,https://openreview.net/forum?id=womU9cEwcO,https://openreview.net/forum?id=womU9cEwcO,http://arxiv.org/pdf/2502.12130v1
10720,AgenticRAGTracer: A Hop-Aware Benchmark for Diagnosing Multi-Step Retrieval Reasoning in Agentic RAG.,10.18653/V1/2026.FINDINGS-ACL.66,https://doi.org/10.18653/v1/2026.findings-acl.66,https://doi.org/10.18653/V1/2026.FINDINGS-ACL.66,http://arxiv.org/pdf/2602.19127v2
10761,Learning to Refine: Self-Refinement of Parallel Reasoning in LLMs.,10.18653/V1/2026.FINDINGS-ACL.1291,https://doi.org/10.18653/v1/2026.findings-acl.1291,https://doi.org/10.18653/V1/2026.FINDINGS-ACL.1291,http://arxiv.org/pdf/2509.00084v2
10769,Entrospect: Information-Theoretic Self-Reflection Elicits Better Response Refinement of Small Language Models.,10.18653/V1/2025.FINDINGS-ACL.1261,https://doi.org/10.18653/v1/2025.findings-acl.1261,https://doi.org/10.18653/V1/2025.FINDINGS-ACL.1261,
10770,Divide-Verify-Refine: Can LLMs Self-align with Complex Instructions?,10.18653/V1/2025.FINDINGS-ACL.709,https://doi.org/10.18653/v1/2025.findings-acl.709,https://doi.org/10.18653/V1/2025.FINDINGS-ACL.709,http://arxiv.org/pdf/2410.12207v2
10773,LLMs as ASP Programmers: Self-Correction Enables Task-Agnostic Nonmonotonic Reasoning.,10.18653/V1/2026.FINDINGS-ACL.1151,https://doi.org/10.18653/v1/2026.findings-acl.1151,https://doi.org/10.18653/V1/2026.FINDINGS-ACL.1151,http://arxiv.org/pdf/2604.27960v2
10775,"Meeseeks: A Feedback-Driven, Iterative Self-Correction Benchmark evaluating LLMs&apos; Instruction Following Capability.",10.18653/V1/2026.FINDINGS-ACL.725,https://doi.org/10.18653/v1/2026.findings-acl.725,https://doi.org/10.18653/V1/2026.FINDINGS-ACL.725,
10779,Confidence v.s. Critique: A Decomposition of Self-Correction Capability for LLMs.,10.18653/V1/2025.ACL-LONG.203,https://doi.org/10.18653/v1/2025.acl-long.203,https://doi.org/10.18653/V1/2025.ACL-LONG.203,
10781,Understanding the Dark Side of LLMs&apos; Intrinsic Self-Correction.,10.18653/V1/2025.ACL-LONG.1314,https://doi.org/10.18653/v1/2025.acl-long.1314,https://doi.org/10.18653/V1/2025.ACL-LONG.1314,
10782,Two-Pronged Human Evaluation of ChatGPT Self-Correction in Radiology Report Simplification.,10.18653/V1/2024.FINDINGS-ACL.279,https://doi.org/10.18653/v1/2024.findings-acl.279,https://doi.org/10.18653/V1/2024.FINDINGS-ACL.279,http://arxiv.org/pdf/2406.18859v1
10785,PROTEA: Offline Evaluation and Iterative Refinement for Multi-Agent LLM Workflows.,10.18653/V1/2026.ACL-DEMO.3,https://doi.org/10.18653/v1/2026.acl-demo.3,https://doi.org/10.18653/V1/2026.ACL-DEMO.3,http://arxiv.org/pdf/2605.18032v1
10786,Evolutionary Guided Decoding: Iterative Value Refinement for LLMs.,10.18653/V1/2026.ACL-LONG.148,https://doi.org/10.18653/v1/2026.acl-long.148,https://doi.org/10.18653/V1/2026.ACL-LONG.148,http://arxiv.org/pdf/2503.02368v4
10805,Memory as Action: Autonomous Context Curation for Long-Horizon Agentic Tasks.,10.18653/V1/2026.FINDINGS-ACL.956,https://doi.org/10.18653/v1/2026.findings-acl.956,https://doi.org/10.18653/V1/2026.FINDINGS-ACL.956,http://arxiv.org/pdf/2510.12635v3
10848,Towards Enforcing Company Policy Adherence in Agentic Workflows.,10.18653/V1/2025.EMNLP-INDUSTRY.41,https://doi.org/10.18653/v1/2025.emnlp-industry.41,https://doi.org/10.18653/V1/2025.EMNLP-INDUSTRY.41,http://arxiv.org/pdf/2507.16459v2
10855,Democratizing LLMs: An Exploration of Cost-Performance Trade-offs in Self-Refined Open-Source Models.,10.18653/V1/2023.FINDINGS-EMNLP.608,https://doi.org/10.18653/v1/2023.findings-emnlp.608,https://doi.org/10.18653/V1/2023.FINDINGS-EMNLP.608,http://arxiv.org/pdf/2310.07611v2
10858,A Probabilistic Inference Scaling Theory for LLM Self-Correction.,10.18653/V1/2025.EMNLP-MAIN.685,https://doi.org/10.18653/v1/2025.emnlp-main.685,https://doi.org/10.18653/V1/2025.EMNLP-MAIN.685,http://arxiv.org/pdf/2508.16456v1
10913,A²Flow: Automating Agentic Workflow Generation via Self-Adaptive Abstraction Operators.,10.1609/AAAI.V40I35.40240,https://doi.org/10.1609/aaai.v40i35.40240,https://doi.org/10.1609/AAAI.V40I35.40240,
