group,paper_id,year,title
36,3637,2025,T1: Tool-integrated Verification for Test-time Compute Scaling in Small Language Models
36,3846,2025,T1: Tool-integrated Verification for Test-time Compute Scaling in Small Language Models
37,4061,2025,The Illusion of Diminishing Returns: Measuring Long Horizon Execution in LLMs
37,4213,2025,The Illusion of Diminishing Returns: Measuring Long Horizon Execution in LLMs
38,4308,2026,Trust-Aware Runtime Verification for Autonomous LLM Agent Systems
38,8916,2026,Trust-Aware Runtime Verification for Autonomous LLM Agent Systems
39,2352,2025,Verification-Aware Planning for Multi-Agent Systems
39,2365,2026,Verification-Aware Planning for Multi-Agent Systems
40,4090,2024,WebPilot: A Versatile and Autonomous Multi-Agent System for Web Task Execution with Strategic Exploration
40,8193,2025,WebPilot: A Versatile and Autonomous Multi-Agent System for Web Task Execution with Strategic Exploration
