paper_id,title,technology_term,control_term,retained
156,When Agents Do Not Stop: Uncovering Infinite Agentic Loops in LLM Agents,True,True,True
158,Efficient Alignment of Large Language Models via Data Sampling,True,True,True
160,Student-Centered Distillation Narrows the Agentic Gap Between Small and Large LLMs,True,True,True
163,Self Generated Wargame AI: Double Layer Agent Task Planning Based on Large Language Model,True,True,True
170,Detection of Personal Data in Structured Datasets Using a Large Language Model,True,True,True
179,Activation Sparsity Opportunities for Compressing General Large Language Models,True,True,True
183,Can Large Language Models (or Humans) Disentangle Text?,True,True,True
186,KG-Agent: An Efficient Autonomous Agent Framework for Complex Reasoning over Knowledge Graph,True,True,True
187,Prospect Personalized Recommendation on Large Language Model-based Agent Platform,True,True,True
188,Language Games as the Pathway to Artificial Superhuman Intelligence,True,True,True
190,The Meta-Agent Challenge: Are Current Agents Capable of Autonomous Agent Development?,True,True,True
194,Who Gets the Reward & Who Gets the Blame? Evaluation-Aligned Training Signals for Multi-LLM Agents,True,True,True
195,Danoliteracy of Generative Large Language Models,True,True,True
201,"Large language model agents for biological intelligence across genomics, proteomics, spatial biology, and biomedicine",True,True,True
202,Leveraging Large Language Models and Agent-Based Systems for Scientific Data Analysis: Validation Study,True,True,True
203,Large Language Model Agent for Modular Task Execution in Drug Discovery,True,True,True
204,"Agentic AI and Large Language Models for Autonomous IoT Cybersecurity: A Systematic Survey, Taxonomy, and Research Roadmap",True,True,True
205,KwaiAgents: Generalized Information-seeking Agent System with Large Language Models,True,True,True
206,A Human-in-Multi-Agent-Loop Intent Refinement Method for Task Offloading in Mobile Edge Computing,True,True,True
208,LUMEN: Enhancing IoT System Observability with Multi-Agent Large Language Models and Knowledge Graphs,True,True,True
210,Agentic AI with Large Language Models for Precision Farming: Advancing Sustainable Resource Optimization in Smart Agritech,True,True,True
213,DSPy: Compiling Declarative Language Model Calls into Self-Improving Pipelines,True,True,True
214,"Exploring Generative AI Agents: Architecture, Applications, and Challenges",True,True,True
215,DREAMS: Density Functional Theory Based Research Engine for Agentic Materials Simulation,True,True,True
217,Knowledge-extractor: a self-evolving scientific framework for hydrogen energy research driven by AI agents,True,True,True
218,MapBot: A Multi-Modal Agent for Geospatial Analysis,True,True,True
221,AGENTSAFE: A Unified Framework for Ethical Assurance and Governance in Agentic AI,True,True,True
222,"Agentic AI as a Cybersecurity Attack Surface: Threats, Exploits, and Defenses in Runtime Supply Chains",True,True,True
223,Securing LLM-based agents against cyberattacks: a comprehensive survey on attack techniques and defense strategies,True,True,True
224,AGENTIC AI FRAMEWORKS FOR AUTONOMOUS AUTOMOTIVE SOFTWARE VALIDATION,True,True,True
225,Agent-SAMA: State-Aware Mobile Assistant,True,True,True
226,"Reframing human–robot interaction through extended reality: Unlocking safer, smarter, and more empathic interactions with virtual robots and foundation models",True,True,True
227,AI Gem: Context-Aware Transformer Agents as Digital Twin Tutors for Adaptive Learning,True,True,True
229,Agentic Lab: An Agentic-physical AI system for cell and organoid experimentation and manufacturing,True,True,True
231,AutoPenBench: Benchmarking Generative Agents for Penetration Testing,True,True,True
232,"Towards trustworthy agentic AI: a comprehensive survey of safety, robustness, privacy, and system security",True,True,True
233,"A Survey of Frontiers in LLM Reasoning: Inference Scaling, Learning to Reason, and Agentic Systems",True,True,True
234,From the logic of coordination to goal-directed reasoning: the agentic turn in artificial intelligence,True,True,True
235,"AI-Driven Vehicle Routing Optimization: A Hybrid Model Using GNN, PPO, Tabu Search, and Agentic Intelligence",True,True,True
236,"MAgICoRe: Multi-Agent, Iterative, Coarse-to-Fine Refinement for Reasoning",True,True,True
237,AgentQuest: A Modular Benchmark Framework to Measure Progress and Improve LLM Agents,True,True,True
239,IryoNLP at MEDIQA-CORR 2024: Tackling the Medical Error Detection & Correction Task on the Shoulders of Medical Agents,True,True,True
241,Artificial Intelligence as the New Hacker: Developing Agents for Offensive Security,True,True,True
242,LLM-Based Human-Agent Collaboration and Interaction Systems: A Survey,True,True,True
244,Agentic AI: Vision and challenges,True,True,True
245,LangChain & LangGraph in Production: Architectures for Multi-Agent LLM Systems,True,True,True
246,Traditional RAG vs. Agentic RAG: A Comparative Study of Retrieval-Augmented Systems,True,True,True
247,Survey and Benchmarking of Large Language Models for RTL Code Generation: Techniques and Open Challenges,True,True,True
248,Revisiting Text Ranking in Deep Research,True,True,True
249,COLA: Collaborative Multi-Agent Framework with Dynamic Task Scheduling for GUI Automation,True,True,True
251,A Review of Multi-Agent AI Systems for Biological and Clinical Data Analysis,True,True,True
252,ARM: Autonomous Remediation and Management With LLM Agents for Intent-Driven Control,True,True,True
253,Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions,True,True,True
254,WaterRAG: A Multiagent Retrieval-Augmented Generation Framework to Support Water Industry Transitions to Net-Zero,True,True,True
255,GENIUS: an agentic AI framework for autonomous design and execution of simulation protocols,True,True,True
257,AI-Assisted Bayesian Optimization of a Permanent Magnet Synchronous Motor for E-Bike Applications,True,True,True
258,A Survey of Reasoning and Agentic Systems in Time Series with Large Language Models,True,True,True
260,Automated Benchmark Auditing for AI Agents and Large Language Models,True,True,True
261,OpenClaw: A Novel Framework for LLM‑Driven Agentic Loops — E8 Intelligence Research,True,True,True
262,Characterizing Large Language Model Agentic Workflows: A Study on N8n Ecosystem,True,True,True
263,Can Small Agents Collaborate to Beat a Single Large Language Model?,True,True,True
264,From Tokens To Agents: A Researcher's Guide To Understanding Large Language Models,True,True,True
265,Towards Evaluating Agentic Large Language Models in Digital System Design,True,True,True
266,Mathematical Methods and Algorithms for Large Language Model Token Optimization in Modern Agentic Artificial Intelligence Enterprise Systems,True,True,True
267,Verifiable Misinformation Detection Using Tool-Augmented Large Language Model Agents,True,True,True
268,Don't Blame the Large Language Model: How Agent Harness Evolution Shapes Coding Agent Quality,True,True,True
269,"Large Language Model Powered Intelligent Urban Agents: Concepts, Capabilities, and Applications",True,True,True
270,"AI Agents vs. Agentic AI: A Conceptual taxonomy, applications and challenges",True,True,True
271,Sovereign Agentic Loops: Decoupling AI Reasoning from Execution in Real-World Systems,True,True,True
272,Semantic Early-Stopping for Iterative LLM Agent Loops,True,True,True
273,A Strongly Typed Assembly Agent for Construction Integrating Rhino and Multimodal Large Language Models,True,True,True
274,Verified Detection and Prevention of Concurrency Anomalies in Multi-Agent Large Language Model Systems,True,True,True
276,Spreadsheet-RL: Advancing Large Language Model Agents on Realistic Spreadsheet Tasks via Reinforcement Learning,True,True,True
279,From Agent Loops to Deterministic Graphs: Execution Lineage for Reproducible AI-Native Work,True,True,True
281,"Evaluating Large Language Models as Live Strategic Agents: Provider Performance, Hybrid Decomposition, and Operational Gaps in Timed Risk Play",True,True,True
282,"The Rise of Agentic AI: A Review of Definitions, Frameworks, Architectures, Applications, Evaluation Metrics, and Challenges",True,True,True
283,llm.api: Minimal LLM Chat Interface,True,True,True
284,Structured Feedback Improves Repair in an LLM Agent Loop,True,True,True
285,When Do Agent Loops Mistake Stagnation for Progress? Self-Evaluation Bias and Externally Grounded Verification in Long-Running Autonomous LLM Agent Loops,True,True,True
286,ALM–ASP: A Functional Agentic Architecture for Answer Set Programming,True,True,True
287,"The Agent Loop: A Survey of Control Strategies, Skills, and Harnesses for LLM Agents",True,True,True
290,An Auditable AI Agent Loop for Empirical Economics: A Case Study in Forecast Combination,True,True,True
291,"SciFi: A Safe, Lightweight, User-Friendly, and Fully Autonomous Agentic AI Workflow for Scientific Applications",True,True,True
292,MAEG: A Multi-Agent Framework for Intelligent Constraint-Aware Exam Paper Generation,True,True,True
293,Curate-Train-Refine: A Closed-Loop Agentic Framework for Zero Shot Classification,True,True,True
294,From Agent Loops to Structured Graphs:A Scheduler-Theoretic Framework for LLM Agent Execution,True,True,True
295,Zenith: An AI-Desktop Personal Assistant,True,True,True
296,SOK: A Taxonomy of Attack Vectors and Defense Strategies for Agentic Supply Chain Runtime,True,True,True
298,VLA-Edge: An Edge-Deployed Vision-Language Model Framework for Autonomous Robotic Manipulation via Agentic Reasoning,True,True,True
299,Notation Matters: A Benchmark Study of Token-Optimized Formats in Agentic AI Systems,True,True,True
300,From Prompts to Protocols: An AI Agent for Laboratory Automation,True,True,True
301,AGENTIC COLLAPSE: A Time-Delayed Cybernetic Framework for Epistemic Stability in Autonomous AI Systems,True,True,True
302,Uni-LaViRA: Language-Vision-Robot Actions Translation for Unified Embodied Navigation,True,True,True
303,Is Grep All You Need? How Agent Harnesses Reshape Agentic Search,True,True,True
304,SafeAgent: A Runtime Protection Architecture for Agentic Systems,True,True,True
305,Beyond Executable Models: The Pufibara Agent Harness and the Modelica Agent Workflow Benchmark for Physical System Modeling,True,True,True
306,AGENT-ORIENTED TRANSFORMATION OF MARKETING FUNCTIONS IN THE GENERATIVE AI ERA: INTRODUCING THE MARKETING AGENT LOOP,True,True,True
307,Neuro-Symbolic Agents for Hallucination-Free Requirements Reuse,True,True,True
308,EncMind: Architecture of a Self-Hosted Confidential Agent Platform,True,True,True
309,"Ansari: A Retrieval-Grounded Islamic AI Assistant -- Architecture, Deployment, and Lessons from 140,000 Conversations",True,True,True
310,"Agentic AI in Practice: A Comprehensive Review of Framework Architectures, Coordination Models, and Workflow Design",True,True,True
311,Ai In The Loop: The Autonomous Sunk-Cost Fallacy,True,True,True
312,Physics as the label for measuring and correcting materials reasoning in multimodal models,True,True,True
313,The Autonomous Sunk-Cost Fallacy: Stopping Failures and Meta-Reasoning in LLMs Deployed within the Autonomous Empirical Optimization System (AEOS),True,True,True
314,How to Make Tool-Using LLM Agents Efficient? A Survey,True,True,True
315,Neuro-Agentic Control: A Deep Learning-based LLM-Powered Agentic AI Framework for Controlling Security Controls,True,True,True
317,Understanding OPF Redispatch Actions through LLM-Assisted Counterfactual Analysis,True,True,True
319,Improving the Safety and Trustworthiness of Medical AI via Multi-Agent Evaluation Loops,True,True,True
320,Autonomous Operations & Agentic AI: Intelligent Self-Directed Systems,True,True,True
321,LongHorizon-Harness: Advancing Long-Horizon Agents for Real-World Tasks,True,True,True
322,"Harness Engineering for LLM Agents: A Survey of Harness Component Taxonomy, Evaluation, and Model–Harness Coevolution",True,True,True
323,"Agentic AI: Concepts, Architectures, Frameworks, and Challenges",True,True,True
324,Supervising Ralph Wiggum: Exploring a Metacognitive Co-Regulation Agentic AI Loop for Engineering Design,True,True,True
325,Rethinking Agentic Search with Pi-Serini: Is Lexical Retrieval Sufficient?,True,True,True
326,"Prompting Autonomous Agents and LLMs in Energy Operations, Efficiency Gains or Hidden Liabilities?",True,True,True
327,PalmClaw: A Native On-Device Agent Framework for Mobile Phones,True,True,True
328,Automating Formal Verification with Agent-Guided Tree Search,True,True,True
329,Disambiguation-Centric Finetuning Makes Enterprise Tool-Calling LLMs More Realistic and Less Risky,True,True,True
330,A T-API-Compliant ReAct Agentic Loop for Optical Networks: Generic vs. Domain-Specific Tool Abstractions,True,True,True
331,Addressing the Orchestration Gap in Generalist Robots via Physical Agency,True,True,True
332,Native Multilingual Chain-of-Thought Reasoning in Low-Resource Southeast Asian Languages,True,True,True
333,Escaping the Self-Confirmation Trap: An Execute-Distill-Verify Paradigm for Agentic Experience Learning,True,True,True
334,Operational Hallucination and Safety Drift in AI Agents,True,True,True
335,Agentic Framework for Deep Learning workload migration via In-Context Learning,True,True,True
336,Test-Time Compute for Frozen Embedding Models through Agentic Program Search,True,True,True
337,The Context Gathering Decision Process: A POMDP Framework for Agentic Search,True,True,True
338,SAINT: Service-level Integration Test Generation with Program Analysis and LLM-based Agents,True,True,True
339,Operationalizing Global Workspace Theory for Metacognitive Multi-Agent LLM Architecture,True,True,True
340,Agentic LLM Compilation of Adaptive Sampling Policies for Low-Power IoT Sensing,True,True,True
341,Agreement Is Not Truth: How LLM Juries Converge Confidently on Legally False Answers,True,True,True
342,Design and implementation of an adaptive hybrid retrieval-augmented generation system for personalized education,True,True,True
343,A-ProS: Towards Reliable Autonomous Programming Through Multi-Model Feedback,True,True,True
344,The Incomplete Closure Effect: Rare-Cue Stickiness as Attributional Misinterpretation in LLMs,True,True,True
345,The Agentic Tax: The Hidden Cost of AI Over-Engineering,True,True,True
346,Best Token Use Path (BTUP): Client-Side Traffic Engineering for Cost-Aware LLM Inference,True,True,True
347,Agentic Artificial Intelligence and the Dawn of Autonomous Biosensors,True,True,True
348,"Dread without a dreader: anxiety as a non-terminating race, and the collision at the edge of constructive representation",True,True,True
349,Agentic Autoresearch for CT Reconstruction,True,True,True
354,Autonomous Intelligent Cyber-defense Agent (AICA) Reference Architecture. Release 2.0,True,True,True
366,"Context Engineering for Multi-Agent LLM Code Assistants Using Elicit, NotebookLM, ChatGPT, and Claude Code",True,True,True
367,LLM Agents for Interactive Workflow Provenance: Reference Architecture and Evaluation Methodology,True,True,True
369,A Methodology for Selecting and Composing Runtime Architecture Patterns for Production LLM Agents,True,True,True
370,Personality-Driven Decision-Making in LLM-Based Autonomous Agents,True,True,True
372,3DLS: A 3D Logic-Stacked Architecture for Disaggregated LLM Serving,True,True,True
373,Agents at Risk: How Users Unwittingly Undermine LLM Safety,True,True,True
377,Caging the Agents: A Zero Trust Security Architecture for Autonomous AI in Healthcare,True,True,True
380,Rethinking AI Hardware: A Three-Layer Cognitive Architecture for Autonomous Agents,True,True,True
383,Empathic Autonomous Agents,True,True,True
384,Insights into DeepSeek-V3: Scaling Challenges and Reflections on Hardware for AI Architectures,True,True,True
389,Model-free Motion Planning of Autonomous Agents for Complex Tasks in Partially Observable Environments,True,True,True
391,"Building Browser Agents: Architecture, Security, and Practical Solutions",True,True,True
393,What Twelve LLM Agent Benchmark Papers Disclose About Themselves: A Pilot Audit and an Open Scoring Schema,True,True,True
395,Will Agents Replace Us? Perceptions of Autonomous Multi-Agent AI,True,True,True
397,Autonomous Incident Resolution at Hyperscale: An Agentic AI Architecture for Network Operations,True,True,True
400,Synergy: A Next-Generation General-Purpose Agent for Open Agentic Web,True,True,True
401,ProgRouter: Online Progress-Guided Orchestration for Multi-Agent LLM Workflows under Quality-Cost Tradeoffs,True,True,True
403,Thucy: An LLM-based Multi-Agent System for Claim Verification across Relational Databases,True,True,True
404,AIvilization v0: Toward Large-Scale Artificial Social Simulation with a Unified Agent Architecture and Adaptive Agent Profiles,True,True,True
407,"RepairAgent: An Autonomous, LLM-Based Agent for Program Repair",True,True,True
408,AgentGuard: Repurposing Agentic Orchestrator for Safety Evaluation of Tool Orchestration,True,True,True
410,ANX: Protocol-First Design for AI Agent Interaction with a Supporting 3EX Decoupled Architecture,True,True,True
415,Project Synapse: A Hierarchical Multi-Agent Framework with Hybrid Memory for Autonomous Resolution of Last-Mile Delivery Disruptions,True,True,True
418,Causal Agent Replay: Counterfactual Attribution for LLM-Agent Failures,True,True,True
419,Balancing Autonomy and Alignment: A Multi-Dimensional Taxonomy for Autonomous LLM-powered Multi-Agent Architectures,True,True,True
421,ODA: Observation-Driven Agent for integrating LLMs and Knowledge Graphs,True,True,True
422,A Concurrent Modular Agent: Framework for Autonomous LLM Agents,True,True,True
424,HackSynth: LLM Agent and Evaluation Framework for Autonomous Penetration Testing,True,True,True
425,ML-Agent: Reinforcing LLM Agents for Autonomous Machine Learning Engineering,True,True,True
426,Right-Sizing LLM-Agent Decomposition in VAT Determination: A Pilot Controlled Sweep,True,True,True
427,Zombie Agents: Persistent Control of Self-Evolving LLM Agents via Self-Reinforcing Injections,True,True,True
428,AutoML-Agent: A Multi-Agent LLM Framework for Full-Pipeline AutoML,True,True,True
430,Uncertainty Decomposition for Clarification Seeking in LLM Agents,True,True,True
431,Kernel Based Cognitive Architecture for Autonomous Agents,True,True,True
433,Harnessing Agent Skills: Architectural Patterns and a Reference Architecture for Skill-Mediated LLM Agents,True,True,True
434,Unified Mind Model: Reimagining Autonomous Agents in the LLM Era,True,True,True
436,Embedding Autonomous Agents in Resource-Constrained Robotic Platforms,True,True,True
437,ASIC-Agent: An Autonomous Multi-Agent System for ASIC Design with Benchmark Evaluation,True,True,True
439,LLM Agents can Autonomously Hack Websites,True,True,True
440,Space Debris Removal using Nano-Satellites controlled by Low-Power Autonomous Agents,True,True,True
441,Understanding Multi-Agent LLM Frameworks: A Unified Benchmark and Experimental Analysis,True,True,True
442,"STRIDE: A Systematic Framework for Selecting AI Modalities -- Agentic AI, AI Assistants, or LLM Calls",True,True,True
445,Autonomous Self-Explanation of Behavior for Interactive Reinforcement Learning Agents,True,True,True
449,DriveAgent: Multi-Agent Structured Reasoning with LLM and Multimodal Sensor Fusion for Autonomous Driving,True,True,True
450,AEMA: Verifiable Evaluation Framework for Trustworthy and Controlled Agentic LLM Systems,True,True,True
452,Learning Hierarchical Procedural Memory for LLM Agents through Bayesian Selection and Contrastive Refinement,True,True,True
453,Edu-Theater: A Data-Efficient Agent Framework for Scalable Learner Behavior Simulation through Staging Roll-Call,True,True,True
454,Agent Capsules: Quality-Gated Granularity Control for Multi-Agent LLM Pipelines,True,True,True
455,Adaptive Data Flywheel: Applying MAPE Control Loops to AI Agent Improvement,True,True,True
457,COALESCE: Economic and Security Dynamics of Skill-Based Task Outsourcing Among Team of Autonomous LLM Agents,True,True,True
458,Altruistic Maneuver Planning for Cooperative Autonomous Vehicles Using Multi-agent Advantage Actor-Critic,True,True,True
459,FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making,True,True,True
460,V2V-LLM: Vehicle-to-Vehicle Cooperative Autonomous Driving with Multimodal Large Language Models,True,True,True
462,Causal Explanations for Sequential Decision-Making in Multi-Agent Systems,True,True,True
463,The Social Laboratory: A Psychometric Framework for Multi-Agent LLM Evaluation,True,True,True
465,Taming OpenClaw: Security Analysis and Mitigation of Autonomous LLM Agent Threats,True,True,True
467,BOLAA: Benchmarking and Orchestrating LLM-augmented Autonomous Agents,True,True,True
468,AgentDAM: Privacy Leakage Evaluation for Autonomous Web Agents,True,True,True
469,AgentDSE: Reasoning-Augmented Architectural Design Space Exploration,True,True,True
470,Communication and Verification in LLM Agents towards Collaboration under Information Asymmetry,True,True,True
471,Deception and Communication in Autonomous Multi-Agent Systems: An Experimental Study with Among Us,True,True,True
472,Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification,True,True,True
473,Catalyst-Agent: Autonomous heterogeneous catalyst screening with an LLM Agent,True,True,True
476,MobileUse: A GUI Agent with Hierarchical Reflection for Autonomous Mobile Operation,True,True,True
477,ProofCouncil: An LLM Agent for Solving Open Mathematical Problems,True,True,True
479,Structured Cognitive Loop for Behavioral Intelligence in Large Language Model Agents (Extended Revision: From Behavioral Architecture to Epistemic Accountability),True,True,True
480,SkillMaster: Toward Autonomous Skill Mastery in LLM Agents,True,True,True
482,A Self-Healing Framework for Reliable LLM-Based Autonomous Agents,True,True,True
483,MCP-Zero: Active Tool Discovery for Autonomous LLM Agents,True,True,True
484,Box Maze: A Process-Control Architecture for Reliable LLM Reasoning,True,True,True
486,Social Agent: Mastering Dyadic Nonverbal Behavior Generation via Conversational LLM Agents,True,True,True
487,Adaptive LLM Agents: Toward Personalized Empathetic Care,True,True,True
488,Fundamentals of Building Autonomous LLM Agents,True,True,True
490,Agentic Social Affordance Framework (ASAF): Agent Identity Design as a Collaboration Interface in Multi-Agent Systems,True,True,True
492,Active Context Compression: Autonomous Memory Management in LLM Agents,True,True,True
496,Autonomous Mathematical Discovery in an Open-World Multi-Agent Environment,True,True,True
497,LLM Agents can Autonomously Exploit One-day Vulnerabilities,True,True,True
498,Think-on-Graph 3.0: Efficient and Adaptive LLM Reasoning on Heterogeneous Graphs via Multi-Agent Dual-Evolving Context Retrieval,True,True,True
499,MatClaw: An Autonomous Code-First LLM Agent for End-to-End Materials Exploration,True,True,True
501,Agent-ToM: Learning to Monitor Autonomous LLM Agents via Theory-of-Mind Reasoning,True,True,True
502,FT-Dojo: Towards Autonomous LLM Fine-Tuning with Language Agents,True,True,True
503,LLM Constitutional Multi-Agent Governance,True,True,True
508,Agent Network Protocol Technical White Paper,True,True,True
509,Verifiability-First Agents: Provable Observability and Lightweight Audit Agents for Controlling Autonomous LLM Systems,True,True,True
511,A4FN: an Agentic AI Architecture for Autonomous Flying Networks,True,True,True
512,The Observability Gap: Why Output-Level Human Feedback Fails for LLM Coding Agents,True,True,True
513,CyberLLM: A Multi-Agent LLM Framework for Autonomous Detection and Guarded Response in Automotive Cybersecurity,True,True,True
515,An LLM-enabled Multi-Agent Autonomous Mechatronics Design Framework,True,True,True
517,Task Memory Engine (TME): Enhancing State Awareness for Multi-Step LLM Agent Tasks,True,True,True
518,ClawTrace: Cost-Aware Tracing for LLM Agent Skill Distillation,True,True,True
519,From LLM Reasoning to Autonomous AI Agents: A Comprehensive Review,True,True,True
520,Task-Aware Delegation Cues for LLM Agents,True,True,True
522,Silent Failure in LLM Agent Systems: The Entropy Principle and the Inevitable Disorder of Autonomous Agents,True,True,True
523,Continuous Improvement and Parallel Autonomous Exploration: An LLM-Agent Framework for Searching Large Solution Spaces,True,True,True
528,Aethon: A Reference-Based Replication Primitive for Constant-Time Instantiation of Stateful AI Agents,True,True,True
530,Enhancing Trust in Autonomous Agents: An Architecture for Accountability and Explainability through Blockchain and Large Language Models,True,True,True
531,Vulnerability Mitigation System (VMS): LLM Agent and Evaluation Framework for Autonomous Penetration Testing,True,True,True
532,Self-Evolving Recommendation System: End-To-End Autonomous Model Optimization With LLM Agents,True,True,True
535,AgentRAN: An Agentic AI Architecture for Autonomous Control of Open 6G Networks,True,True,True
539,AgentWard: A Lifecycle Security Architecture for Autonomous AI Agents,True,True,True
540,Zero-shot 3D Map Generation with LLM Agents: A Dual-Agent Architecture for Procedural Content Generation,True,True,True
542,EvoTrainer: Co-Evolving LLM Policies and Training Harnesses for Autonomous Agentic Reinforcement Learning,True,True,True
549,Building LLM Agents by Incorporating Insights from Computer Systems,True,True,True
552,Large Language Models as Software Components: A Taxonomy for LLM-Integrated Applications,True,True,True
553,Agentic AI for Autonomous Micro-Frontend User Interfaces and Microservices Evolution in Cloud Platforms,True,True,True
554,LLMSat: A Large Language Model-Based Goal-Oriented Agent for Autonomous Space Exploration,True,True,True
556,A Comparative Study Towards Designing a Hybrid Architecture of Microservices and LLM-based Multi-Agent Systems,True,True,True
557,"AI-IoT-Robotics Integration: Survey of Frameworks, Emerging Trends, and the Path Toward Connected Robotics",True,True,True
558,TACOS: Task Agnostic Coordinator of a Multi-Drone System,True,True,True
559,Agentic AI and Multiagentic: Are We Reinventing the Wheel?,True,True,True
561,Adaptive Data Flywheel: Applying MAPE Control Loops to AI Agent Improvement,True,True,True
564,A Comprehensive Survey of Agentic AI in Healthcare,True,True,True
566,Stable Agentic Control: Tool-Mediated LLM Architecture for Autonomous Cyber Defense,True,True,True
567,AICL: A Control-Loop Architecture for Stable Long-Horizon LLM Agents,True,True,True
568,Generative AI for Self-Adaptive Systems: State of the Art and Research Roadmap,True,True,True
570,PROMPTGUARD: Zero Trust Prompting for Securing LLM-Driven O-RAN Control,True,True,True
571,Resilience in Ambient Multi-Agent LLMs via Decentralized Bio-Autonomic Control and Immune-Inspired Anomaly Detection,True,True,True
572,Resilience in Ambient Multi-Agent LLMs via Decentralized Bio-Autonomic Control and Immune-Inspired Anomaly Detection,True,True,True
573,Real-Time Anomaly Detection and Reactive Planning with Large Language Models,True,True,True
575,OpenClaw and Ollama in Agentic AI: Toward Fully Autonomous and Scalable AI Agent Systems,True,True,True
576,Multi-agent autonomous GeoAI framework for scalable and self-improving geospatial intelligence,True,True,True
578,Self-Evolving Software Agents,True,True,True
579,Autonomous Quality Agents: Policy-Driven Test Generation and Intelligent Orchestration for Continuous Software Assurance,True,True,True
580,From Prompt-Response to Goal-Directed Systems: The Evolution of Agentic AI Software Architecture,True,True,True
