paper_id,axis,value
714,research_type,solution_proposal
714,evaluation_strategy,none
714,human_role,human_on_the_loop
714,venue_type,preprint
743,loop_mechanism,planning_and_control_flow
743,contribution_type,method
743,research_type,validation_research
743,evaluation_strategy,benchmark
743,human_role,fully_autonomous
743,venue_type,preprint
752,loop_mechanism,planning_and_control_flow
752,contribution_type,method
752,research_type,validation_research
752,evaluation_strategy,controlled_experiment
752,human_role,fully_autonomous
752,venue_type,preprint
797,loop_mechanism,critique_and_revision
797,contribution_type,method
797,research_type,validation_research
797,evaluation_strategy,benchmark
797,human_role,fully_autonomous
797,venue_type,preprint
825,loop_mechanism,self_evolution
825,contribution_type,method
825,research_type,validation_research
825,evaluation_strategy,benchmark
825,human_role,fully_autonomous
825,venue_type,preprint
826,loop_mechanism,verification_and_gating
826,contribution_type,method
826,research_type,validation_research
826,evaluation_strategy,controlled_experiment
826,human_role,fully_autonomous
826,venue_type,preprint
851,loop_mechanism,verification_and_gating
851,contribution_type,method
851,research_type,validation_research
851,evaluation_strategy,benchmark
851,human_role,fully_autonomous
851,venue_type,preprint
859,loop_mechanism,multi_agent_coordination
859,contribution_type,method
859,research_type,validation_research
859,evaluation_strategy,benchmark
859,human_role,fully_autonomous
859,venue_type,preprint
865,loop_mechanism,self_evolution
865,contribution_type,method
865,research_type,validation_research
865,evaluation_strategy,controlled_experiment
865,human_role,not_specified
865,venue_type,preprint
872,loop_mechanism,planning_and_control_flow
872,contribution_type,method
872,research_type,validation_research
872,evaluation_strategy,benchmark
872,human_role,fully_autonomous
872,venue_type,preprint
879,loop_mechanism,verification_and_gating
879,contribution_type,method
879,research_type,validation_research
879,evaluation_strategy,benchmark
879,human_role,fully_autonomous
879,venue_type,preprint
901,loop_mechanism,planning_and_control_flow
901,contribution_type,tool
901,research_type,solution_proposal
901,evaluation_strategy,illustrative_example
901,human_role,not_specified
901,venue_type,preprint
903,loop_mechanism,loop_evaluation_and_diagnosis
903,contribution_type,process
903,research_type,evaluation_research
903,evaluation_strategy,case_study
903,human_role,not_specified
903,venue_type,preprint
908,loop_mechanism,deliberative_search
908,contribution_type,method
908,research_type,validation_research
908,evaluation_strategy,benchmark
908,human_role,fully_autonomous
908,venue_type,preprint
913,loop_mechanism,loop_evaluation_and_diagnosis
913,contribution_type,tool
913,research_type,validation_research
913,evaluation_strategy,benchmark
913,human_role,human_on_the_loop
913,venue_type,preprint
915,loop_mechanism,self_evolution
915,contribution_type,tool
915,research_type,solution_proposal
915,evaluation_strategy,none
915,human_role,not_specified
915,venue_type,preprint
930,loop_mechanism,memory_and_context_management
930,contribution_type,method
930,research_type,validation_research
930,evaluation_strategy,benchmark
930,human_role,fully_autonomous
930,venue_type,preprint
938,loop_mechanism,multi_agent_coordination
938,contribution_type,tool
938,research_type,validation_research
938,evaluation_strategy,benchmark
938,human_role,not_specified
938,venue_type,preprint
950,loop_mechanism,critique_and_revision
950,contribution_type,method
950,research_type,validation_research
950,evaluation_strategy,benchmark
950,human_role,fully_autonomous
950,venue_type,preprint
971,loop_mechanism,verification_and_gating
971,contribution_type,method
971,research_type,validation_research
971,evaluation_strategy,controlled_experiment
971,human_role,human_in_the_loop
971,venue_type,preprint
973,loop_mechanism,loop_evaluation_and_diagnosis
973,contribution_type,tool
973,research_type,validation_research
973,evaluation_strategy,benchmark
973,human_role,fully_autonomous
973,venue_type,preprint
975,loop_mechanism,critique_and_revision
975,contribution_type,method
975,research_type,validation_research
975,evaluation_strategy,controlled_experiment
975,human_role,fully_autonomous
975,venue_type,preprint
978,loop_mechanism,deliberative_search
978,contribution_type,method
978,research_type,validation_research
978,evaluation_strategy,benchmark
978,human_role,fully_autonomous
978,venue_type,preprint
988,loop_mechanism,multi_agent_coordination
988,contribution_type,method
988,research_type,validation_research
988,evaluation_strategy,benchmark
988,human_role,fully_autonomous
988,venue_type,preprint
1004,loop_mechanism,memory_and_context_management
1004,contribution_type,method
1004,research_type,validation_research
1004,evaluation_strategy,benchmark
1004,human_role,fully_autonomous
1004,venue_type,preprint
1021,loop_mechanism,planning_and_control_flow
1021,contribution_type,method
1021,research_type,validation_research
1021,evaluation_strategy,controlled_experiment
1021,human_role,fully_autonomous
1021,venue_type,preprint
1022,loop_mechanism,multi_agent_coordination
1022,contribution_type,method
1022,research_type,validation_research
1022,evaluation_strategy,benchmark
1022,human_role,fully_autonomous
1022,venue_type,preprint
1038,loop_mechanism,verification_and_gating
1038,contribution_type,tool
1038,research_type,validation_research
1038,evaluation_strategy,case_study
1038,human_role,human_on_the_loop
1038,venue_type,preprint
1040,loop_mechanism,planning_and_control_flow
1040,contribution_type,method
1040,research_type,validation_research
1040,evaluation_strategy,benchmark
1040,human_role,not_specified
1040,venue_type,preprint
1043,loop_mechanism,verification_and_gating
1043,contribution_type,method
1043,research_type,validation_research
1043,evaluation_strategy,controlled_experiment
1043,human_role,fully_autonomous
1043,venue_type,preprint
1044,loop_mechanism,deliberative_search
1044,contribution_type,method
1044,research_type,validation_research
1044,evaluation_strategy,benchmark
1044,human_role,human_on_the_loop
1044,venue_type,preprint
1048,loop_mechanism,planning_and_control_flow
1048,contribution_type,method
1048,research_type,validation_research
1048,evaluation_strategy,benchmark
1048,human_role,fully_autonomous
1048,venue_type,preprint
1054,loop_mechanism,planning_and_control_flow
1054,contribution_type,method
1054,research_type,validation_research
1054,evaluation_strategy,benchmark
1054,human_role,fully_autonomous
1054,venue_type,preprint
1058,loop_mechanism,multi_agent_coordination
1058,contribution_type,method
1058,research_type,validation_research
1058,evaluation_strategy,benchmark
1058,human_role,fully_autonomous
1058,venue_type,journal
1061,loop_mechanism,verification_and_gating
1061,contribution_type,method
1061,research_type,validation_research
1061,evaluation_strategy,benchmark
1061,human_role,human_in_the_loop
1061,venue_type,preprint
1067,loop_mechanism,self_evolution
1067,contribution_type,method
1067,research_type,validation_research
1067,evaluation_strategy,benchmark
1067,human_role,fully_autonomous
1067,venue_type,preprint
1070,loop_mechanism,multi_agent_coordination
1070,contribution_type,tool
1070,research_type,validation_research
1070,evaluation_strategy,controlled_experiment
1070,human_role,fully_autonomous
1070,venue_type,preprint
1077,loop_mechanism,deliberative_search
1077,contribution_type,method
1077,research_type,validation_research
1077,evaluation_strategy,controlled_experiment
1077,human_role,fully_autonomous
1077,venue_type,preprint
1082,loop_mechanism,deliberative_search
1082,contribution_type,method
1082,research_type,solution_proposal
1082,evaluation_strategy,none
1082,human_role,not_specified
1082,venue_type,preprint
1101,loop_mechanism,multi_agent_coordination
1101,contribution_type,model
1101,research_type,validation_research
1101,evaluation_strategy,controlled_experiment
1101,human_role,fully_autonomous
1101,venue_type,journal
1103,loop_mechanism,planning_and_control_flow
1103,contribution_type,method
1103,research_type,validation_research
1103,evaluation_strategy,benchmark
1103,human_role,fully_autonomous
1103,venue_type,preprint
1113,loop_mechanism,deliberative_search
1113,contribution_type,method
1113,research_type,validation_research
1113,evaluation_strategy,benchmark
1113,human_role,fully_autonomous
1113,venue_type,preprint
1116,loop_mechanism,memory_and_context_management
1116,contribution_type,method
1116,research_type,validation_research
1116,evaluation_strategy,benchmark
1116,human_role,fully_autonomous
1116,venue_type,preprint
1126,loop_mechanism,budget_and_termination_control
1126,contribution_type,method
1126,research_type,validation_research
1126,evaluation_strategy,benchmark
1126,human_role,fully_autonomous
1126,venue_type,conference
1182,loop_mechanism,self_evolution
1182,contribution_type,method
1182,research_type,validation_research
1182,evaluation_strategy,benchmark
1182,human_role,fully_autonomous
1182,venue_type,preprint
1203,loop_mechanism,critique_and_revision
1203,contribution_type,method
1203,research_type,validation_research
1203,evaluation_strategy,benchmark
1203,human_role,fully_autonomous
1203,venue_type,preprint
1241,loop_mechanism,critique_and_revision
1241,contribution_type,method
1241,research_type,validation_research
1241,evaluation_strategy,benchmark
1241,human_role,fully_autonomous
1241,venue_type,preprint
1257,loop_mechanism,verification_and_gating
1257,contribution_type,method
1257,research_type,validation_research
1257,evaluation_strategy,benchmark
1257,human_role,fully_autonomous
1257,venue_type,preprint
1273,loop_mechanism,critique_and_revision
1273,contribution_type,method
1273,research_type,validation_research
1273,evaluation_strategy,benchmark
1273,human_role,fully_autonomous
1273,venue_type,preprint
1283,loop_mechanism,critique_and_revision
1283,contribution_type,method
1283,research_type,validation_research
1283,evaluation_strategy,benchmark
1283,human_role,fully_autonomous
1283,venue_type,preprint
1319,loop_mechanism,critique_and_revision
1319,contribution_type,method
1319,research_type,validation_research
1319,evaluation_strategy,controlled_experiment
1319,human_role,fully_autonomous
1319,venue_type,preprint
1331,loop_mechanism,critique_and_revision
1331,contribution_type,method
1331,research_type,validation_research
1331,evaluation_strategy,benchmark
1331,human_role,fully_autonomous
1331,venue_type,preprint
1341,loop_mechanism,multi_agent_coordination
1341,contribution_type,method
1341,research_type,validation_research
1341,evaluation_strategy,benchmark
1341,human_role,fully_autonomous
1341,venue_type,conference
1343,loop_mechanism,critique_and_revision
1343,contribution_type,method
1343,research_type,validation_research
1343,evaluation_strategy,benchmark
1343,human_role,fully_autonomous
1343,venue_type,conference
1346,loop_mechanism,critique_and_revision
1346,contribution_type,method
1346,research_type,validation_research
1346,evaluation_strategy,human_study
1346,human_role,human_in_the_loop
1346,venue_type,preprint
1348,loop_mechanism,critique_and_revision
1348,contribution_type,method
1348,research_type,validation_research
1348,evaluation_strategy,benchmark
1348,human_role,fully_autonomous
1348,venue_type,preprint
1349,loop_mechanism,critique_and_revision
1349,contribution_type,method
1349,research_type,validation_research
1349,evaluation_strategy,controlled_experiment
1349,human_role,fully_autonomous
1349,venue_type,preprint
1350,loop_mechanism,self_evolution
1350,contribution_type,method
1350,research_type,validation_research
1350,evaluation_strategy,controlled_experiment
1350,human_role,fully_autonomous
1350,venue_type,preprint
1351,loop_mechanism,critique_and_revision
1351,contribution_type,method
1351,research_type,validation_research
1351,evaluation_strategy,benchmark
1351,human_role,fully_autonomous
1351,venue_type,conference
1353,loop_mechanism,critique_and_revision
1353,contribution_type,metric
1353,research_type,validation_research
1353,evaluation_strategy,benchmark
1353,human_role,fully_autonomous
1353,venue_type,conference
1364,loop_mechanism,multi_agent_coordination
1364,contribution_type,method
1364,research_type,validation_research
1364,evaluation_strategy,benchmark
1364,human_role,fully_autonomous
1364,venue_type,preprint
1366,loop_mechanism,verification_and_gating
1366,contribution_type,method
1366,research_type,validation_research
1366,evaluation_strategy,controlled_experiment
1366,human_role,fully_autonomous
1366,venue_type,preprint
1367,loop_mechanism,critique_and_revision
1367,contribution_type,method
1367,research_type,validation_research
1367,evaluation_strategy,benchmark
1367,human_role,fully_autonomous
1367,venue_type,conference
1376,loop_mechanism,loop_evaluation_and_diagnosis
1376,contribution_type,tool
1376,research_type,validation_research
1376,evaluation_strategy,benchmark
1376,human_role,fully_autonomous
1376,venue_type,conference
1378,loop_mechanism,critique_and_revision
1378,contribution_type,method
1378,research_type,validation_research
1378,evaluation_strategy,benchmark
1378,human_role,fully_autonomous
1378,venue_type,conference
1382,loop_mechanism,critique_and_revision
1382,contribution_type,tool
1382,research_type,validation_research
1382,evaluation_strategy,benchmark
1382,human_role,fully_autonomous
1382,venue_type,conference
1384,loop_mechanism,critique_and_revision
1384,contribution_type,tool
1384,research_type,validation_research
1384,evaluation_strategy,benchmark
1384,human_role,human_in_the_loop
1384,venue_type,preprint
1391,loop_mechanism,critique_and_revision
1391,contribution_type,method
1391,research_type,validation_research
1391,evaluation_strategy,benchmark
1391,human_role,fully_autonomous
1391,venue_type,preprint
1392,loop_mechanism,critique_and_revision
1392,contribution_type,method
1392,research_type,validation_research
1392,evaluation_strategy,benchmark
1392,human_role,fully_autonomous
1392,venue_type,preprint
1394,loop_mechanism,critique_and_revision
1394,contribution_type,method
1394,research_type,validation_research
1394,evaluation_strategy,benchmark
1394,human_role,fully_autonomous
1394,venue_type,preprint
1395,loop_mechanism,self_evolution
1395,contribution_type,method
1395,research_type,validation_research
1395,evaluation_strategy,benchmark
1395,human_role,fully_autonomous
1395,venue_type,preprint
1406,loop_mechanism,critique_and_revision
1406,contribution_type,method
1406,research_type,validation_research
1406,evaluation_strategy,benchmark
1406,human_role,fully_autonomous
1406,venue_type,preprint
1407,loop_mechanism,multi_agent_coordination
1407,contribution_type,method
1407,research_type,validation_research
1407,evaluation_strategy,benchmark
1407,human_role,fully_autonomous
1407,venue_type,journal
1417,loop_mechanism,critique_and_revision
1417,contribution_type,method
1417,research_type,validation_research
1417,evaluation_strategy,benchmark
1417,human_role,fully_autonomous
1417,venue_type,preprint
1419,loop_mechanism,critique_and_revision
1419,contribution_type,model
1419,research_type,validation_research
1419,evaluation_strategy,human_study
1419,human_role,human_in_the_loop
1419,venue_type,conference
1420,loop_mechanism,critique_and_revision
1420,contribution_type,method
1420,research_type,evaluation_research
1420,evaluation_strategy,human_study
1420,human_role,not_specified
1420,venue_type,journal
1421,loop_mechanism,self_evolution
1421,contribution_type,method
1421,research_type,validation_research
1421,evaluation_strategy,benchmark
1421,human_role,fully_autonomous
1421,venue_type,conference
1422,loop_mechanism,self_evolution
1422,contribution_type,method
1422,research_type,validation_research
