paper_id,axis,coder_A,coder_B
5036,human_role,not_specified,fully_autonomous
5081,human_role,human_in_the_loop,not_specified
5465,human_role,not_specified,fully_autonomous
5843,human_role,human_on_the_loop,fully_autonomous
6407,human_role,fully_autonomous,not_specified
6432,human_role,not_specified,fully_autonomous
6459,human_role,not_specified,fully_autonomous
6527,human_role,not_specified,fully_autonomous
6533,human_role,not_specified,fully_autonomous
6547,human_role,not_specified,fully_autonomous
6562,human_role,fully_autonomous,not_specified
6707,human_role,fully_autonomous,not_specified
6790,human_role,fully_autonomous,not_specified
6809,human_role,fully_autonomous,not_specified
6826,human_role,fully_autonomous,not_specified
6830,human_role,fully_autonomous,not_specified
6835,human_role,fully_autonomous,not_specified
6853,human_role,fully_autonomous,not_specified
6859,human_role,fully_autonomous,not_specified
6863,human_role,fully_autonomous,not_specified
6865,human_role,fully_autonomous,not_specified
6920,human_role,not_specified,human_in_the_loop
6925,human_role,fully_autonomous,not_specified
6988,human_role,fully_autonomous,not_specified
7615,human_role,not_specified,fully_autonomous
7616,human_role,not_specified,fully_autonomous
7834,human_role,not_specified,fully_autonomous
8847,human_role,fully_autonomous,not_specified
8916,human_role,not_specified,fully_autonomous
8932,human_role,not_specified,fully_autonomous
9050,human_role,fully_autonomous,not_specified
9089,human_role,not_specified,fully_autonomous
9170,human_role,not_specified,fully_autonomous
9197,human_role,not_specified,fully_autonomous
10271,human_role,not_specified,fully_autonomous
10274,human_role,not_specified,fully_autonomous
10277,human_role,not_specified,fully_autonomous
10432,human_role,not_specified,fully_autonomous
10720,human_role,not_specified,fully_autonomous
10848,human_role,not_specified,fully_autonomous
156,loop_mechanism,budget_and_termination_control,loop_evaluation_and_diagnosis
312,loop_mechanism,loop_evaluation_and_diagnosis,verification_and_gating
472,loop_mechanism,verification_and_gating,loop_evaluation_and_diagnosis
913,loop_mechanism,loop_evaluation_and_diagnosis,memory_and_context_management
1061,loop_mechanism,verification_and_gating,planning_and_control_flow
1116,loop_mechanism,memory_and_context_management,self_evolution
1485,loop_mechanism,verification_and_gating,critique_and_revision
1567,loop_mechanism,planning_and_control_flow,deliberative_search
1723,loop_mechanism,planning_and_control_flow,verification_and_gating
1883,loop_mechanism,verification_and_gating,critique_and_revision
1885,loop_mechanism,verification_and_gating,critique_and_revision
3817,loop_mechanism,verification_and_gating,budget_and_termination_control
3847,loop_mechanism,deliberative_search,planning_and_control_flow
3875,loop_mechanism,budget_and_termination_control,verification_and_gating
3879,loop_mechanism,budget_and_termination_control,deliberative_search
3882,loop_mechanism,deliberative_search,budget_and_termination_control
3885,loop_mechanism,deliberative_search,self_evolution
3935,loop_mechanism,planning_and_control_flow,multi_agent_coordination
3949,loop_mechanism,multi_agent_coordination,deliberative_search
3969,loop_mechanism,budget_and_termination_control,planning_and_control_flow
3987,loop_mechanism,loop_evaluation_and_diagnosis,planning_and_control_flow
4687,loop_mechanism,loop_evaluation_and_diagnosis,memory_and_context_management
5208,loop_mechanism,multi_agent_coordination,budget_and_termination_control
5216,loop_mechanism,multi_agent_coordination,budget_and_termination_control
5338,loop_mechanism,multi_agent_coordination,self_evolution
5773,loop_mechanism,critique_and_revision,verification_and_gating
5863,loop_mechanism,loop_evaluation_and_diagnosis,planning_and_control_flow
5931,loop_mechanism,multi_agent_coordination,planning_and_control_flow
6060,loop_mechanism,planning_and_control_flow,self_evolution
6093,loop_mechanism,planning_and_control_flow,multi_agent_coordination
6468,loop_mechanism,self_evolution,verification_and_gating
6518,loop_mechanism,verification_and_gating,planning_and_control_flow
6520,loop_mechanism,loop_evaluation_and_diagnosis,budget_and_termination_control
6559,loop_mechanism,loop_evaluation_and_diagnosis,memory_and_context_management
6595,loop_mechanism,verification_and_gating,planning_and_control_flow
6888,loop_mechanism,verification_and_gating,loop_evaluation_and_diagnosis
6951,loop_mechanism,critique_and_revision,multi_agent_coordination
6988,loop_mechanism,multi_agent_coordination,loop_evaluation_and_diagnosis
6992,loop_mechanism,verification_and_gating,critique_and_revision
7137,loop_mechanism,deliberative_search,multi_agent_coordination
7863,loop_mechanism,critique_and_revision,deliberative_search
8344,loop_mechanism,loop_evaluation_and_diagnosis,verification_and_gating
8716,loop_mechanism,planning_and_control_flow,critique_and_revision
8739,loop_mechanism,verification_and_gating,multi_agent_coordination
8845,loop_mechanism,multi_agent_coordination,planning_and_control_flow
8932,loop_mechanism,multi_agent_coordination,budget_and_termination_control
9964,loop_mechanism,critique_and_revision,verification_and_gating
10565,loop_mechanism,loop_evaluation_and_diagnosis,critique_and_revision
10712,loop_mechanism,planning_and_control_flow,deliberative_search
10770,loop_mechanism,verification_and_gating,critique_and_revision
10785,loop_mechanism,loop_evaluation_and_diagnosis,self_evolution
567,research_type,solution_proposal,validation_research
714,research_type,solution_proposal,philosophical_paper
6081,research_type,validation_research,solution_proposal
6520,research_type,experience_paper,solution_proposal
6603,research_type,solution_proposal,validation_research
6612,research_type,opinion_paper,philosophical_paper
6634,research_type,evaluation_research,validation_research
6776,research_type,validation_research,solution_proposal
6993,research_type,solution_proposal,philosophical_paper
7029,research_type,philosophical_paper,opinion_paper
8712,research_type,validation_research,experience_paper
8739,research_type,solution_proposal,experience_paper
8746,research_type,solution_proposal,experience_paper
9089,research_type,validation_research,solution_proposal
9117,research_type,validation_research,solution_proposal
571,venue_type,preprint,conference
971,venue_type,preprint,conference
973,venue_type,preprint,conference
988,venue_type,preprint,conference
1004,venue_type,preprint,conference
1043,venue_type,preprint,conference
1054,venue_type,preprint,conference
1341,venue_type,conference,preprint
1343,venue_type,conference,preprint
1351,venue_type,conference,preprint
1762,venue_type,conference,preprint
1835,venue_type,conference,preprint
1840,venue_type,preprint,conference
1865,venue_type,preprint,conference
1870,venue_type,preprint,conference
1885,venue_type,preprint,conference
1894,venue_type,preprint,conference
1902,venue_type,preprint,conference
1918,venue_type,preprint,conference
2289,venue_type,preprint,conference
2295,venue_type,preprint,conference
2300,venue_type,preprint,conference
2365,venue_type,preprint,conference
3019,venue_type,preprint,conference
3058,venue_type,preprint,conference
3157,venue_type,preprint,conference
7430,venue_type,journal,preprint
