paper_id,title,year,venue,source
597,The Agentic Memory Dilemma: Designing the First True Working Memory System for AI Agents,2026,Zenodo (CERN European Organization for Nuclear Research),openalex
602,LLMs as Hackers: Autonomous Linux Privilege Escalation Attacks,2026,Empirical Software Engineering,openalex
608,Enactive Cognitive Architectures for LLMs: A Homeostatic Approach to Functional Teleology and Algorithmic Individuation,2026,,openalex
615,Safe integration of Large Language Models into industrial process control: a multi-agent architecture with P&ID-grounded validation,2026,Autonomous Intelligent Systems,openalex
620,Safety Sidecar: Reflection-Driven Runtime Control for Safer Agents,2026,,openalex
637,Critique of Agent Model,2026,arXiv (Cornell University),openalex
639,"Remember, Don't Re-read: Stateful ReAct Agents for Token-Efficient Autonomous Experimentation",2026,arXiv (Cornell University),openalex
660,The Dual-State Architecture for Reliable LLM Agents,2025,arXiv (Cornell University),openalex
666,Breaking the Loop: AWARE is the New MAPE-K,2025,,openalex
690,Future Factories With 6G: Agentic AI and Cyber–Physical Digital Twins,2025,IEEE Internet of Things Journal,openalex
691,A self-correcting multi-agent LLM framework for language-based physics simulation and explanation,2026,npj Artificial Intelligence,openalex
709,ComoRAG: A Cognitive-Inspired Memory-Organized RAG for Stateful Long Narrative Reasoning,2026,Proceedings of the AAAI Conference on Artificial Intelligence,openalex
714,Evaluation-Driven Development and Operations of LLM Agents: A Process Model and Reference Architecture,2024,arXiv (Cornell University),openalex
743,ReAct: Synergizing Reasoning and Acting in Language Models,2022,arXiv:cs.CL,arxiv
752,On the Brittle Foundations of ReAct Prompting for Agentic Large Language Models,2024,arXiv:cs.AI,arxiv
797,"Towards Autonomous Agents: Adaptive-planning, Reasoning, and Acting in Language Models",2024,arXiv:cs.AI,arxiv
825,PRACT: Optimizing Principled Reasoning and Acting of LLM Agent,2024,arXiv:cs.AI,arxiv
826,Breaking ReAct Agents: Foot-in-the-Door Attack Will Get You In,2024,arXiv:cs.CR,arxiv
851,CP-Agent: A Calibrated Risk-Controlled Agent for Feedback-Driven Competitive Programming,2026,arXiv:cs.CL,arxiv
859,The Geometry of Dialogue: Graphing Language Models to Reveal Synergistic Teams for Multi-Agent Collaboration,2025,arXiv:cs.CL,arxiv
865,Learning Evolving Latent Strategies for Multi-Agent Language Systems without Model Fine-Tuning,2025,arXiv:cs.LG,arxiv
872,DLLM-Searcher: Adapting Diffusion Large Language Model for Search Agents,2026,arXiv:cs.AI,arxiv
879,Towards Uncertainty-Aware Language Agent,2024,arXiv:cs.CL,arxiv
901,Behavior Trees Enable Structured Programming of Language Model Agents,2024,arXiv:cs.AI,arxiv
903,"Multi-Paradigm Agent Interaction in Practice:A Systematic Analysis of Generator-Evaluator, ReAct Loop,and Adversarial Evaluation in the buddyMe Framework",2026,arXiv:cs.AI,arxiv
908,RF-Agent: Automated Reward Function Design via Language Agent Tree Search,2026,arXiv:cs.AI,arxiv
913,Prime Agent: A Self-Improving RLM Harness,2026,arXiv:cs.AI,arxiv
915,Agent-R1: A Unified and Modular Framework for Agentic Reinforcement Learning,2025,arXiv:cs.CL,arxiv
930,Agent-BRACE: Decoupling Beliefs from Actions in Long-Horizon Tasks via Verbalized State Uncertainty,2026,arXiv:cs.CL,arxiv
938,Towards Effective GenAI Multi-Agent Collaboration: Design and Evaluation for Enterprise Applications,2024,arXiv:cs.CL,arxiv
950,Reflexion: Language Agents with Verbal Reinforcement Learning,2023,arXiv (Cornell University),openalex
971,Large Language Model-based Human-Agent Collaboration for Complex Task Solving,2024,,openalex
973,Understanding the Weakness of Large Language Model Agents within a Complex Android Environment,2024,,openalex
975,Large Language Model Agent as a Mechanical Designer,2024,arXiv (Cornell University),openalex
978,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,2023,arXiv (Cornell University),openalex
988,ReConcile: Round-Table Conference Improves Reasoning via Consensus among Diverse LLMs,2024,,openalex
1004,HiAgent: Hierarchical Working Memory Management for Solving Long-Horizon Agent Tasks with Large Language Model,2025,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),openalex
1021,AutoFlow: Automated Workflow Generation for Large Language Model Agents,2024,arXiv (Cornell University),openalex
1022,Unleashing the Emergent Cognitive Synergy in Large Language Models: A Task-Solving Agent through Multi-Persona Self-Collaboration,2023,arXiv (Cornell University),openalex
1038,Testing Language Model Agents Safely in the Wild,2023,arXiv (Cornell University),openalex
1040,Pre-Act: Multi-Step Planning and Reasoning Improves Acting in LLM Agents,2025,arXiv (Cornell University),openalex
1043,Breaking ReAct Agents: Foot-in-the-Door Attack Will Get You In,2025,,openalex
1044,Think-on-Graph: Deep and Responsible Reasoning of Large Language Model on Knowledge Graph,2023,arXiv (Cornell University),openalex
1048,Auto-GPT for Online Decision Making: Benchmarks and Additional Opinions,2023,arXiv (Cornell University),openalex
1054,KnowAgent: Knowledge-Augmented Planning for LLM-Based Agents,2025,,openalex
1058,Adaptive heterogeneous multi-agent debate for enhanced educational and factual reasoning in large language models,2025,Journal of King Saud University - Computer and Information Sciences,openalex
1061,"ReSpAct: Harmonizing Reasoning, Speaking, and Acting Towards Building Large Language Model-Based Conversational AI Agents",2024,arXiv (Cornell University),openalex
1067,Recursive Introspection: Teaching Language Model Agents How to Self-Improve,2024,arXiv (Cornell University),openalex
1070,AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors,2023,arXiv (Cornell University),openalex
1077,Large Language Model Guided Tree-of-Thought,2023,arXiv (Cornell University),openalex
1082,Suppressing echo cascades in language-model agents with multi-critic plan selection,2026,Research Square,openalex
1101,Agentic Large Language Models for Conceptual Systems Engineering and Design,2025,Journal of Mechanical Design,openalex
1103,Hypothetical Minds: Scaffolding Theory of Mind for Multi-Agent Tasks with Large Language Models,2024,arXiv (Cornell University),openalex
1113,Tree Search for Language Model Agents,2024,arXiv (Cornell University),openalex
1116,Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,2025,arXiv (Cornell University),openalex
1126,AutoTool: Efficient Tool Selection for Large Language Model Agents,2026,Proceedings of the AAAI Conference on Artificial Intelligence,openalex
1182,SELF: Self-Evolution with Language Feedback,2023,arXiv:cs.CL,arxiv
1203,Can Language Models Critique Themselves? Investigating Self-Feedback for Retrieval Augmented Generation at BioASQ 2025,2025,arXiv:cs.CL,arxiv
1241,Self-Refine: Iterative Refinement with Self-Feedback,2023,arXiv:cs.CL,arxiv
1257,FAIR-RAG: Faithful Adaptive Iterative Refinement for Retrieval-Augmented Generation,2025,arXiv:cs.CL,arxiv
1273,Teaching Large Language Models to Self-Debug,2023,arXiv:cs.CL,arxiv
1283,Self-Refinement of Language Models from External Proxy Metrics Feedback,2024,arXiv:cs.CL,arxiv
1319,Are Retrials All You Need? Enhancing Large Language Model Reasoning Without Verbalized Feedback,2025,arXiv:cs.CL,arxiv
1331,MAF: Multi-Aspect Feedback for Improving Reasoning in Large Language Models,2023,arXiv:cs.CL,arxiv
1341,Encouraging Divergent Thinking in Large Language Models through Multi-Agent Debate,2024,,openalex
1343,SummIt: Iterative Text Summarization via ChatGPT,2023,,openalex
1346,Self-critiquing models for assisting human evaluators,2022,arXiv (Cornell University),openalex
1348,CRITIC: Large Language Models Can Self-Correct with Tool-Interactive Critiquing,2023,arXiv (Cornell University),openalex
1349,Large Language Models Cannot Self-Correct Reasoning Yet,2023,arXiv (Cornell University),openalex
1350,Improving Language Model Negotiation with Self-Play and In-Context Learning from AI Feedback,2023,arXiv (Cornell University),openalex
1351,TEaR: Improving LLM-based Machine Translation with Systematic Self-Refinement,2025,,openalex
1353,Pride and Prejudice: LLM Amplifies Self-Bias in Self-Refinement,2024,ACL,openalex
1364,Encouraging Divergent Thinking in Large Language Models through Multi-Agent Debate,2023,arXiv (Cornell University),openalex
1366,Can Large Language Models Really Improve by Self-critiquing Their Own Plans?,2023,arXiv (Cornell University),openalex
1367,MAGIC: Generating Self-Correction Guideline for In-Context Text-to-SQL,2025,Proceedings of the AAAI Conference on Artificial Intelligence,openalex
1376,CriticBench: Benchmarking LLMs for Critique-Correct Reasoning,2024,,openalex
1378,When Hindsight is Not 20/20: Testing Limits on Reflective Thinking in Large Language Models,2024,,openalex
1382,LATTE: Improving Latex Recognition for Tables and Formulae with Iterative Refinement,2025,Proceedings of the AAAI Conference on Artificial Intelligence,openalex
1384,Query2CAD: Generating CAD models using natural language queries,2024,arXiv (Cornell University),openalex
1391,Is Self-Repair a Silver Bullet for Code Generation?,2023,arXiv (Cornell University),openalex
1392,LLM-ARC: Enhancing LLMs with an Automated Reasoning Critic,2024,arXiv (Cornell University),openalex
1394,Self-Contrast: Better Reflection Through Inconsistent Solving Perspectives,2024,arXiv (Cornell University),openalex
1395,"Toward Self-Improvement of LLMs via Imagination, Searching, and Criticizing",2024,arXiv (Cornell University),openalex
1406,RCOT: Detecting and Rectifying Factual Inconsistency in Reasoning by Reversing Chain-of-Thought,2023,arXiv (Cornell University),openalex
1407,Visual Reasoning and Multi-Agent Approach in Multimodal Large Language Models (MLLMs): Solving TSP and mTSP Combinatorial Challenges,2024,Machine Learning and Knowledge Extraction,openalex
1417,MAGIC: Generating Self-Correction Guideline for In-Context Text-to-SQL,2024,arXiv (Cornell University),openalex
1419,Socratic Human Feedback (SoHF): Expert Steering Strategies for LLM Code Generation,2024,,openalex
1420,Iteratively refined ChatGPT outperforms clinical mentors in generating high-quality interprofessional education clinical scenarios: a comparative study,2025,BMC Medical Education,openalex
1421,Self-Correction is More than Refinement: A Learning Framework for Visual and Language Reasoning Tasks,2025,Findings of the Association for Computational Linguistics: ACL 2025,openalex
1422,Self-Correction is More than Refinement: A Learning Framework for Visual and Language Reasoning Tasks,2024,arXiv (Cornell University),openalex
1429,LLaMA-Berry: Pairwise Optimization for O1-like Olympiad-Level Mathematical Reasoning,2024,arXiv (Cornell University),openalex
1432,Towards Reasoning in Large Language Models via Multi-Agent Peer Review Collaboration,2023,arXiv (Cornell University),openalex
1433,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023,arXiv (Cornell University),openalex
1442,AlphaVerus: Bootstrapping Formally Verified Code Generation through Self-Improving Translation and Treefinement,2024,arXiv (Cornell University),openalex
1449,Generating Code World Models with Large Language Models Guided by Monte Carlo Tree Search,2024,arXiv (Cornell University),openalex
1450,Smaller Large Language Models Can Do Moral Self-Correction,2025,,openalex
1452,Volcano: Mitigating Multimodal Hallucination through Self-Feedback Guided Revision,2023,arXiv (Cornell University),openalex
1456,"MAgICoRe: Multi-Agent, Iterative, Coarse-to-Fine Refinement for Reasoning",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,openalex
1458,Plug-and-Play Policy Planner for Large Language Model Powered Dialogue Agents,2023,arXiv (Cornell University),openalex
1459,ProgCo: Program Helps Self-Correction of Large Language Models,2025,ACL,openalex
1461,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,2024,Proceedings of the AAAI Conference on Artificial Intelligence,openalex
1465,"Ask, Assess, and Refine: Rectifying Factual Consistency and Hallucination in LLMs with Metric-Guided Feedback Learning",2024,,openalex
1471,Can LLMs Patch Security Issues?,2023,arXiv (Cornell University),openalex
1472,"PromptWizard: Optimizing Prompts via Task-Aware, Feedback-Driven Self-Evolution",2025,,openalex
1475,DIMSIM: Distilled Multilingual Critics for Indic Text Simplification,2024,,openalex
1479,Empowering Large Language Model Agent through Step-Level Self-Critique and Self-Training,2025,Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval,openalex
1483,CodeTree: Agent-guided Tree Search for Code Generation with Large Language Models,2024,arXiv (Cornell University),openalex
1485,Revisit Self-Debugging with Self-Generated Tests for Code Generation,2025,arXiv (Cornell University),openalex
1487,ECCO: Can We Improve Model-Generated Code Efficiency Without Sacrificing Functional Correctness?,2024,,openalex
1496,PREFER: Prompt Ensemble Learning via Feedback-Reflect-Refine,2023,arXiv (Cornell University),openalex
1505,Mirror: A Multiple-perspective Self-Reflection Method for Knowledge-rich Reasoning,2024,arXiv (Cornell University),openalex
1512,Towards Efficient LLM Grounding for Embodied Multi-Agent Collaboration,2024,arXiv (Cornell University),openalex
1514,Large Language Models Can Self-Correct with Key Condition Verification,2024,arXiv (Cornell University),openalex
1517,An Empirical Study on Self-correcting Large Language Models for Data Science Code Generation,2024,arXiv (Cornell University),openalex
1531,Enabling Language Models to Implicitly Learn Self-Improvement,2023,arXiv (Cornell University),openalex
1548,Sherlock: Self-Correcting Reasoning in Vision-Language Models,2025,arXiv:cs.CV,arxiv
1553,CosmicFish-HRM: Adaptive Reasoning via Hierarchical Recurrent Mechanisms in Compact Language Models,2026,arXiv:cs.LG,arxiv
1554,Language Models can perform Single-Utterance Self-Correction of Perturbed Reasoning,2025,arXiv:cs.CL,arxiv
1555,Embedding Self-Correction as an Inherent Ability in Large Language Models for Enhanced Mathematical Reasoning,2024,arXiv:cs.AI,arxiv
1556,Small Language Models Need Strong Verifiers to Self-Correct Reasoning,2024,arXiv:cs.CL,arxiv
1564,Large Language Models have Intrinsic Self-Correction Ability,2024,arXiv:cs.CL,arxiv
1566,Decomposing LLM Self-Correction: The Accuracy-Correction Paradox and Error Depth Hypothesis,2025,arXiv:cs.AI,arxiv
1567,Learning Adaptive Parallel Reasoning with Language Models,2025,arXiv:cs.AI,arxiv
1573,Multi-Layer GRPO: Enhancing Reasoning and Self-Correction in Large Language Models,2025,arXiv:cs.LG,arxiv
1574,Smaller Large Language Models Can Do Moral Self-Correction,2024,arXiv:cs.CL,arxiv
1579,On the Convergence of Moral Self-Correction in Large Language Models,2025,arXiv:cs.CL,arxiv
1581,Self-Correction Bench: Uncovering and Addressing the Self-Correction Blind Spot in Large Language Models,2025,arXiv:cs.CL,arxiv
1594,Learning to Check: Unleashing Potentials for Self-Correction in Large Language Models,2024,arXiv:cs.CL,arxiv
1599,Small Language Model Can Self-correct,2024,arXiv:cs.CL,arxiv
1602,Intent-Aware Self-Correction for Mitigating Social Biases in Large Language Models,2025,arXiv:cs.CL,arxiv
1606,CyberCorrect: A Cybernetic Framework for Closed-Loop Self-Correction in Large Language Models,2026,arXiv:cs.AI,arxiv
1607,Self-correction is Not An Innate Capability in Language Models,2024,arXiv:cs.CL,arxiv
1610,Self-Correcting Large Language Models: Generation vs. Multiple Choice,2025,arXiv:cs.CL,arxiv
1615,Confidence Matters: Revisiting Intrinsic Self-Correction Capabilities of Large Language Models,2024,arXiv:cs.CL,arxiv
1618,Self-Taught Self-Correction for Small Language Models,2025,arXiv:cs.CL,arxiv
1636,ESC: Emotional Self-Correction for Reliable Vision-Language Models,2026,arXiv:cs.CV,arxiv
1654,Self-Correcting Code Generation Using Small Language Models,2025,arXiv:cs.CL,arxiv
1673,Reinforcing Step-level Reasoning for Effective Self-Correction in LLMs,2026,arXiv:cs.CL,arxiv
1687,Evolutionary Prompt Optimization Discovers Emergent Multimodal Reasoning Strategies in Vision-Language Models,2025,arXiv:cs.CL,arxiv
1696,Synthetic Error Injection Fails to Elicit Self-Correction In Language Models,2025,arXiv:cs.AI,arxiv
1723,Monitor-Generate-Verify (MGV): Formalising Metacognitive Theory for Language Model Reasoning,2025,arXiv:cs.AI,arxiv
1755,Enhancing Zero-Shot Chain-of-Thought Reasoning in Large Language Models through Logic,2023,arXiv (Cornell University),openalex
1762,Can ChatGPT Defend its Belief in Truth? Evaluating LLM Reasoning via Debate,2023,,openalex
1792,On the Self-Verification Limitations of Large Language Models on Reasoning and Planning Tasks,2024,arXiv (Cornell University),openalex
1793,Iterative Self-Questioning Supervision with Semantic Calibration for Stable Reasoning Chains in Large Language Models,2026,Preprints.org,openalex
1805,Hierarchical Multi-agent Large Language Model Reasoning for Autonomous Heterogeneous Catalyst Discovery,2026,npj Computational Materials,openalex
1821,Self-Correction Makes LLMs Better Parsers,2025,EMNLP,openalex
1835,LR²Bench: Evaluating Long-chain Reflective Reasoning Capabilities of Large Language Models via Constraint Satisfaction Problems,2025,,openalex
1836,Generating Sequences by Learning to Self-Correct,2022,arXiv (Cornell University),openalex
1837,Self-Corrective Task Planning by Inverse Prompting with Large Language Models,2025,,openalex
1840,Confidence v.s. Critique: A Decomposition of Self-Correction Capability for LLMs,2025,,openalex
1847,Learning to Check: Unleashing Potentials for Self-Correction in Large Language Models,2024,arXiv (Cornell University),openalex
1849,Understanding the Dark Side of LLMs’ Intrinsic Self-Correction,2025,,openalex
1854,ReSearch: Learning to Reason with Search for LLMs via Reinforcement Learning,2025,,openalex
1861,SETS: Leveraging Self-Verification and Self-Correction for Improved Test-Time Scaling,2025,arXiv (Cornell University),openalex
1865,Verification and Refinement of Natural Language Explanations through LLM-Symbolic Theorem Proving,2024,,openalex
1868,A Theoretical Understanding of Self-Correction through In-context Alignment,2024,arXiv (Cornell University),openalex
1870,LLaVA-SCo: Teach Vision Language Models to Self-Correct,2025,,openalex
1882,Fact-Level Confidence Calibration and Self-Correction,2024,arXiv (Cornell University),openalex
1883,CorrectBench: Automatic Testbench Generation with Functional Self-Correction using LLMs for HDL Design,2024,arXiv (Cornell University),openalex
1885,"LLMs cannot find reasoning errors, but can correct them given the error location",2024,,openalex
1891,Instantiation-based Formalization of Logical Reasoning Tasks Using Language Models and Logical Solvers,2025,,openalex
1892,Enhancing safety of vision-language reasoning through model-to-model deliberation,2025,Complex & Intelligent Systems,openalex
1894,Entropy-based Exploration Conduction for Multi-step Reasoning,2025,,openalex
1895,Plan-on-Graph: Self-Correcting Adaptive Planning of Large Language Model on Knowledge Graphs,2024,arXiv (Cornell University),openalex
1902,Mirror: Multiple-perspective Self-Reflection Method for Knowledge-rich Reasoning,2024,,openalex
1912,CodeARC: Benchmarking Reasoning Capabilities of LLM Agents for Inductive Program Synthesis,2025,arXiv (Cornell University),openalex
1914,Training Language Models to Self-Correct via Reinforcement Learning,2024,arXiv (Cornell University),openalex
1918,Table-Critic: A Multi-Agent Framework for Collaborative Criticism and Refinement in Table Reasoning,2025,,openalex
1923,"LLM Self-Correction with DeCRIM: Decompose, Critique, and Refine for Enhanced Following of Instructions with Multiple Constraints",2024,EMNLP,openalex
1934,GeneAgent: Self-verification Language Agent for Gene Set Knowledge Discovery using Domain Databases,2024,arXiv:cs.AI,arxiv
1948,A Closer Look at the Self-Verification Abilities of Large Language Models in Logical Reasoning,2023,arXiv:cs.AI,arxiv
1986,ReVeal: Self-Evolving Code Agents via Reliable Self-Verification,2025,arXiv:cs.SE,arxiv
2052,Convergence of Outputs When Two Large Language Models Interact in a Multi-Agentic Setup,2025,arXiv:cs.CL,arxiv
2053,"Trust, But Verify: A Self-Verification Approach to Reinforcement Learning with Verifiable Rewards",2025,arXiv:cs.AI,arxiv
2088,ReVISE: Learning to Refine at Test-Time via Intrinsic Self-Verification,2025,arXiv:cs.LG,arxiv
