paper_id,decision,criteria,reason
8848,exclude,E3,"Off-the-shelf o3 agent applied to a competitive-adsorption puzzle; the claim is the three-parameter physical model obtained, not how the agent's iteration was governed."
8867,exclude,E7,"Abstract empty; the title contributes an agentic multimodal LLM for conversational architectural design, with self-iteration listed as a capability of the system, not as the contribution."
8896,exclude,E3,Abstract empty; the title puts an off-the-shelf LLM inside a thematic-analysis research method; no loop mechanism is named as the contribution.
8898,include,I2,"Abstract empty; the title contributes a geometric theory of the trajectories of agentic loops, making the loop's own dynamics and iteration policy the object."
8946,exclude,E7,"Multi-agent pipeline with human review checkpoints for automotive systems engineering; the reported claims are reduced engineering effort, traceability and token usage of the system."
8949,exclude,E1,"Abstract empty; the title is model predictive control with a human and LLM in the loop, a control-theoretic loop rather than a language-model agent's loop."
9011,exclude,E3,"Abstract empty; the title applies an off-the-shelf ReAct agent to automate head-and-neck IMRT treatment planning, a clinical application with no loop mechanism as contribution."
9020,exclude,E2,"Abstract empty; the title is a preference-optimisation training method for mathematical reasoning, where 'iterative stabilisation' is in training, not a runtime agent loop."
9076,include,I2,"Abstract empty; the title contributes dynamic self-reflective reasoning driven by prior reasoning paths, i.e. loop state reused to choose the next subgraph exploration step."
9084,include,I2,"Abstract empty; the title contributes Self Iterative Contradiction, an iterated self-check on the model's own output that decides whether to revise. Mechanism: verification."
9089,include,I2,"Abstract empty; the title contributes iterative semantic refinement, a VLM check that re-drives the next edit; verification-driven iteration policy is the named contribution."
9090,include,I2,"Abstract empty; the title contributes iterative symbolic refinement, a symbolic check that repairs the explanation and decides whether another pass runs. Mechanism: verification/repair."
9096,include,I2,Closed loop of extraction-verification-feedback-optimisation whose ablations isolate the dynamic feedback iterative mechanism itself; contributes verification and repair of intermediate results.
9099,exclude,E2,"Abstract empty; the title is a pose-aware interface delivering feedback to human sign-language learners, with no autonomous agent loop named."
9106,exclude,E2,"Abstract empty; the title is fine-tuning with iterative few-shot dataset expansion and prompt refinement; the iteration is offline data generation, not a runtime agent loop."
9117,include,I2,"Abstract empty; the title contributes a closed-loop feedback framework for iterative optimisation, making the feedback loop itself the named contribution. Mechanism: verification/repair."
9120,exclude,E7,"Abstract empty; the title contributes a modular retrieval-generation-feedback recommender framework, where feedback is a pipeline stage of a recommendation system, not studied loop control."
9123,exclude,E2,"Abstract empty; the title mitigates hallucination by curative prompt refinement, i.e. rewriting the prompt, with no iterative control returning to the model."
9131,include,I2,"Abstract empty; the title contributes iterative self-correction for text-driven person re-identification, a repeated self-check and repair as the named mechanism."
9135,exclude,E3,"Abstract empty; the title leverages existing self-refinement to suppress excessive responses in a virtual-patient application; the loop is used as-is, nothing claimed about it."
9136,include,I2,"Abstract empty; the title contributes Self-Polish, repeated self-refinement of the problem before re-solving it. Mechanism: iteration policy."
9155,exclude,E1,"Abstract empty; the title trains a robot control and navigation policy by adversarial self-imitation with LLM feedback; the loop is RL and robot control, not an LLM agent's loop."
9156,exclude,E1,LLM only labels preferences and augments trajectories for online PbRL reward learning; the loop is reinforcement learning with no language-model policy.
9157,exclude,E2,"Abstract empty; the title is iterative refinement and goal articulation to optimise LLMs for clinical extraction, i.e. developer-side prompt tuning, not a runtime agent loop."
9163,exclude,E2,"BERT-based scorer plus a generative feedback module for student writing, evaluated by 0.87 agreement with manual scoring; single-pass scoring with feedback to learners, no agent loop."
9169,exclude,E5,"Summarises three families of methods 'by reviewing relevant essays' and lists the field's datasets and metrics; a secondary review of self-correction work, not a primary study."
9170,include,I2,Isolates self-correction as a measured evaluation dimension and reports persistent vulnerabilities in unsupervised revision protocols: evidence about the revise-on-error mechanism itself.
9215,exclude,E7,"Abstract empty; the title is an LLM tutor system verifying and remediating a student's reasoning errors, so the check governs tutoring output rather than an autonomous agent's own loop."
9275,include,I2,"Abstract empty; the title contributes an iterative self-verifying architecture for a patch-verification agent, i.e. verification deciding whether the agent iterates again."
9304,exclude,E3,"Chatbot implementing an existing self-reflective RAG approach; claims are 80% answer correctness and a 74.7% usability score, application outcomes rather than the reflection mechanism."
9426,include,I2,Abstract empty; the title contributes a chain-of-thought critic that checks intermediate reasoning to drive revision. Mechanism: verification.
