"paper_id","keywords"
"1865","theorem-prover verification; formal validity guarantee; prover-generated refinement feedback"
"1870","supervised training for self-correction; two-turn correction stage; correction dataset"
"1882","fact-level confidence calibration; self-assessed correctness; confidence-guided correction"
"1891","semantic self-verification; solver-checked instantiations; near-certain verification precision"
"2052","open-ended agent-to-agent loop; repetition and convergence; drift metrics"
"2227","self-verification of generated code; self-generated test reports; miscalibrated self-assessment"
"2228","self-verification ability; logical-reasoning check reliability"
"2262","self-debugging; self-verification; context conditioning of retry loop"
"2312","overused self-verification; recheck detection; experience-based suppression signal; token saving"
"2316","planned verification questions; independent fact-checking of draft; verified final response"
"2317","verbalized confidence; confidence-triggered self-verification; uncertainty-conditioned rethinking"
"2356","tool-flow verification; interrupt-execute-resume interface; exact-computation adjudication"
"2385","pre-execution action verification; verify-before-act toolkit; domain safety plugins"
"2971","learned critique generator; RL-optimised feedback for revision; black-box actor"
"3165","constrained-decoding reflection; hallucination snowballing; structural constraint failure mode"
"3166","recursive refinement; adversarial stress-testing; incremental search through a multi-agent pipeline"
"3318","iterative step verification; constraint checking; coordinator-driven backtracking"
"3319","iterative test-time refinement; VLM critic in the loop; constraint-guided regeneration"
"3617","knockout and league selection over candidates; pairwise comparison; test-time compute scaling law"
"3686","divergent exploration then convergent reconciliation; disagreement-driven allocation; recursive reconciliation"
"3744","turn-adaptive thinking budget; sequential compute allocation; global token constraint"
"3783","dynamic compute allocation; method selection per query; latency and token cost"
"3794","sufficiency check before invoking imagination; adaptive test-time scaling; gating policy"
"3818","generated unit tests as feedback; error-revealing test inputs; validated backtracking of edits"
"3836","test-time compute planning under budget; collaboration modules; short- and long-horizon lookahead"
"3857","difficulty classification; selective branch truncation and expansion; process reward guidance"
"3860","iterative decoding with summarisation; short-horizon RL for long-horizon improvement; test-time extrapolation"
"3886","bias-aware pruning of node expansion; best-arm identification; search under compute budget"
"3906","MCTS over trajectory refinements; VLM trajectory scoring; step-level feedback; trajectory archive"
"3914","unified test-time-scaling framework; scorer families; quality-cost benchmark; trajectory debugger"
"3949","collaborative beam search; cross-model consensus verification; dynamic generation quota"
"3963","meta chain-of-thought; in-context search; internalised search traces; process supervision"
"3975","experience-derived context construction; retrieval of distilled experience; context as scaling axis"
"4064","memory as execution-state management; hierarchical state tree; grow/compress/maintain/revise; branch isolation"
"4133","checkpoint instrumentation; failure attribution before capability exposure; controlled intervention"
"4172","ultra-long-horizon benchmark; premature termination; poor self-verification; reward hacking"
"4178","mid-task user interruption; goal revision and retraction; recovery efficiency benchmark"
"4180","intention-bound action chains; proactive conflict and feasibility validation; targeted refinement; avoided full replanning"
"4212","per-subtask model selection; execution-time routing; subtask dependency awareness"
"4235","grounded decoding; action feasibility constraint on generation; grounded-model objectives"
"4248","execution-error detection; affordance checking; seeking help as a skill; human or peer escalation"
"4332","long-horizon defined by information-set closure; structural evaluation criterion; incremental key-input generation"
"4333","self-reflection progress signal; escalation to a stronger model tier; difficulty-aware budget allocation"
"4347","SOP as decision graph; procedure-guided traversal; domain-knowledge-constrained control flow"
"4356","replacing generative decision calls with classifiers; routing/gating/verification heads; latency and cost reduction"
"4360","uncertainty-driven planning-mode selection; action-uncertainty guided MCTS; aleatoric/epistemic decomposition"
"4598","memory poisoning; write-time origin binding; authority to act; information-flow control on memory-driven actions"
"4612","benchmark for recursive self-improvement; save/retrieve/update pathway evidence; cross-session experience reuse"
"4619","selective memory consolidation; metric-gated persistence; reliability regression prevention"
"4632","skill evolution lifecycle harness; unsafe skill carryover; benchmark for misevolution; evolution wrapper"
"4644","memory operations as an MDP; learned when/what/how-much to retrieve; consolidation and forgetting policy"
"4836","context as executable session environment; append-only event log; eviction with recoverable landmarks"
"4856","continuous escalation-pressure state; risk integration over time; pre-escalation signal for human oversight"
"4944","context management as a callable tool; proactive trajectory compression; structured context workspace"
"4970","evolutionary search scaffold; context pollution pruning; momentum-based backtracking; exploration-exploitation policy"
"4971","benchmark for long-horizon conversational context management; context-loss evaluation"
"4974","formal modelling of agent workflows; machine-checked semantic consistency; trajectory failure localisation"
"4975","adaptive context elasticizer; reversible raw/abstract/drop per step; lossless message layer"
"4998","trajectory-level empirical study; behavioural drivers of failure; context-gathering and validation behaviour"
"5064","reasoning memory distilled from success and failure; retrieve-and-integrate loop; memory-aware test-time scaling"
"5069","orientation cache; context map artefact; programmable cache policy with eviction budget"
"5111","explicit situation state; provenance-aware fact tracking; constraint propagation to action executability"
"5191","orchestration topology selection; task-dependency-graph routing; termination guarantees for synthesis"
"5214","role-based review collaboration; author-reviewer-meta-reviewer; reduced inter-agent communication cost"
"5216","infrastructure-aware orchestration; queue- and cache-aware routing; topology conditioned on runtime load"
"5225","causal action scoring; structural causal action model; reweighting of proposed actions"
"5241","collaboration network topology; DAG-organised agents; collaborative scaling law"
"5249","collaboration topology experiment; authority/roles/dynamics factors; cross-model review"
"5275","retrieval-conditioned topology routing; per-agent budget contracts; budget conservation"
"5289","attention orchestration over agent graph; goal- and topology-aware importance; resource-aware priority"
"5304","multi-agent self-refinement cycles; validation and quality-assessment agents; decision automation across stages"
"5383","workflow as activity-on-vertex graph; dynamic subtask reallocation; execution-time workflow refinement"
"5420","publish-subscribe agent coordination; intent-based messaging; reputation-based peer isolation"
"5445","response-conditioned communication graph; Shapley-approximated peer contribution; self-organising DAG"
"5465","query optimisation over agentic pipelines; joint topology/model/engine choice; cost estimation and caching"
"5487","dense vector inter-agent communication; dynamic partner selection; differentiable coordination"
"5489","runtime uncertainty governance; uncertainty representation/identification/evolution/adaptation; system-level control logic"
"5645","failure lifecycle study; root-cause and repair analysis; cross-node failure propagation"
"5755","closed-loop tool generation; sandboxed test execution; diagnostic feedback and regeneration"
"5845","benchmark suite for multi-agent engineering workflows; supervisor architecture reference; conditional branching evaluation"
"5868","deterministic assertion harness; formalised domain invariants; state locking for monotonic non-regression"
"5904","replan-or-not decision; replanning mode selection; token budget and latency SLO; context pruning"
"5913","tool-failure perturbation benchmark; dynamic replanning; anomaly recovery rate"
"5918","planning-specific diagnostic benchmark; feedback-conditioned step-wise planning; calibrated refusal"
"5962","coarse-to-fine grounded memory; experience and tip retrieval for planning; anomaly-triggered reflection"
"5975","hierarchical phase planner; plan-conditioned memory retrieval; stuck detection and replanning; execution-grounded verification"
"6140","online failure identification; ontology and logical rules for detection; symbolic-guided recovery planning"
"6241","intention and execution agents; subtask decomposition and reflection; progress and off-track monitoring; corrective replanning"
"6242","perception-planning-action-reflection-memory workflow; agentic reframing of a single-pass task; continual adaptation"
"6270","closed-loop plan-execute over dialogue state; PDDL formulation of strategy search; judge-transitioner-planner turn loop"
"6520","identity-scoped request routing; adaptive tool timeout budgeting; structured error semantics for deterministic self-correction"
"6527","control-plane dispatcher; quality gatekeeper for structured output; deterministic arbitration of probabilistic generation"
"6563","symbolic encoding of runtime traces; n-gram and transition analysis of loop behaviour; rule-based runtime governor"
"6646","benchmark and orchestration framework; tool-as-agent versus plan-executor comparison; automated failure-mode discovery"
"6656","hierarchical capability tree; LIFO stack execution loop; lazy capability discovery; branch isolation"
"6661","nested agent hierarchy; layered stewardship topology; central orchestrator decomposition"
"6707","online reliability memory; per-peer competence evidence; feedback-updated routing and weighting"
"6763","state commit, revert and branching; trajectory rollback; parallel branch exploration"
"6790","credibility scoring of agents; contribution-weighted aggregation; adversarial agent resistance"
"6863","peer influence and herd behaviour; confidence gap and conformity; controllable peer-information format"
"6992","adversarial self-critique before hand-off; critic agent challenging the primary agent; human-in-the-loop bound"
"7022","specialised interpretation/synthesis/validation/correction agents; controlled refinement loop; deterministic validation stage"
"7029","role-differentiated MAS failure; cognitive fixation in shared context; external context-isolated disruption"
"7181","iterative self-training to reflect; MCTS-constructed revision trajectories; first-error-step critique"
"7186","retrospective model; policy-gradient prompt tuning from environment reward; failure root-cause summarisation"
"7239","benchmark of compiler-feedback iteration; iterative error correction across models; task-type difficulty"
"7469","self-improvement from own trajectories; co-evolving world model; look-ahead simulation for action selection"
"7535","recursive self-modification of own logic; self-referential improvement; unrestricted agent design search"
"7595","prediction-observation mismatch detection; causal hypothesis generation; revision of the agent's internal model"
"7615","generator-verifier-updater operator; self-play improvement dynamics; stability condition for self-improvement"
"7616","recursive self-improvement threshold; introspection and self-access; fixed-point iteration limits"
"7703","benchmark for iterative self-optimisation; perception-memory-reasoning refinement loop; feedback-driven search over large spaces"
"7748","recursive skill evolution; two-timescale task-skill and meta-skill updates; trace-derived procedure rewriting"
"7753","failure-derived memory artefacts; population broadcast of best memory; graduation criterion for convergence"
"7834","self-improvement via reflection; reflective training data"
"7954","autonomous tree search without external program; self-generated search trajectories; prompt-induced branching"
"8170","modular planner; conflict monitoring, state prediction and evaluation modules; orchestrated decomposition"
"8193","MCTS adapted to large action spaces; global plan refinement plus local search; reflective plan update"
"8204","collective MCTS; expansion, error positioning, backpropagation and selection; reasoning-path search"
"8363","constraint substrate; access control and enforced conventions; oversight of agent actions by tooling"
"8398","oversight by design; escalation policy and intervention controls; automated risk checks on generated output"
"8406","benchmark for scalable oversight protocols; agent score difference metric; feedback-mechanism comparison"
"8971","writer-reviewer pipeline; static natural-language review feedback; role-to-model assignment"
"9117","closed-loop feedback; iterative optimisation of generated output"
"9197","self-correcting refiner policies; verifiable reward signal; inference-time iterative refinement"
"9263","step verification as process control signal; local regeneration; hierarchical recovery and replanning"
"9484","iterative informed navigation; step-by-step graph search for reasoning"
"10096","hierarchical slow-mind/fast-mind/executor loop; latency-aware decomposition; real-time reactive layer"
"10432","dual cognitive loop; rational and irrational decision channels"
"10547","feedback loop in a translation pipeline; perturbation effects on iteration"
"10761","self-refinement of parallel reasoning; learned refinement over parallel drafts"
"10769","self-reflection for response refinement; information-theoretic critique signal"
"10785","offline evaluation of multi-agent workflows; iterative refinement driven by evaluation"
