paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
2,verification_and_gating,tool,validation_research,controlled_experiment,human_in_the_loop,preprint,"Contributes a Watchdog execution-monitoring layer whose discrete outcome labels gate finalize/retry/escalate decisions; validated in the lab on a mobile manipulator over induced-failure scenarios, not in deployment."
262,loop_evaluation_and_diagnosis,model,evaluation_research,case_study,not_specified,preprint,"Mines 6,000 published n8n workflows to characterise structure, reliability mechanisms and autonomy levels, an instrument for measuring loop practice; the workflows are real deployed automations built by practitioners."
263,multi_agent_coordination,model,validation_research,benchmark,fully_autonomous,preprint,"The contribution is the orchestrator/sub-agent arrangement and where reasoning capacity must sit, i.e. coordination rather than any one role; evidence is lab benchmark comparisons against larger single-agent models."
265,loop_evaluation_and_diagnosis,metric,validation_research,benchmark,fully_autonomous,preprint,"Measures one-shot, iterative-feedback, two-agent and five tool-calling architectures rather than proposing one, so the artefact is the evaluation; all evidence is lab benchmarks (VerilogEval-Human, CVDP)."
268,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"Holds the model fixed and varies 35 harness releases to measure how harness evolution moves agent quality, a diagnostic study of loop behaviour; conducted on SWE-bench Verified tasks in the lab."
271,verification_and_gating,model,validation_research,case_study,fully_autonomous,preprint,"SAL validates model-emitted intents against true system state and policy before execution, a pre-execution gate; evidence is a lab OpenKedge cloud-infrastructure prototype blocking 93% of unsafe intents."
272,budget_and_termination_control,method,validation_research,controlled_experiment,fully_autonomous,preprint,"The contribution is a halting rule that stops the writer-critic loop when consecutive drafts stop changing in meaning, i.e. when to stop; evidence is a paired lab replay of stopping policies on HotpotQA."
274,verification_and_gating,model,validation_research,controlled_experiment,not_specified,preprint,"Detectors gate read-generate-write commits over shared agent state, a write-time consistency check rather than a memory representation; evidence is machine-checked proofs plus 1000-run prevention comparisons in the lab."
279,planning_and_control_flow,model,validation_research,controlled_experiment,human_in_the_loop,preprint,"Represents the work as a DAG of artifact-producing computations with explicit dependencies and identity-based replay, which fixes what runs next; evidence is two controlled lab memo-update tasks against loop baselines."
281,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"Contributes an evaluation apparatus (timed Risk environment, replicated 32-game championships, planner/executor decomposition, trace analysis) rather than a mechanism; all play happens in the lab game."
284,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,preprint,"The claim is what the feedback after an external rejection must contain for the retry to succeed, i.e. the revision step not the validator; evidence is 50 paired lab TextWorld games with feedback-field ablations."
